Region_Electricity,eGrid_Reg
Florida Reliability Coordinating Council,FRCC
Midcontinent / Central,MISC
Midcontinent / East,MISE
Midcontinent / South,MISS
Midcontinent / West,MISW
Northeast Power Coordinating Council / New England,ISNE
Northeast Power Coordinating Council / New York City and Long Island,NYCW
Northeast Power Coordinating Council / Upstate New York,NYUP
PJM / Commonwealth Edison,PJMC
PJM / Dominion,PJMD
PJM / East,PJME
PJM / West,PJMW
SERC Reliability Corporation / Central,SRCE
SERC Reliability Corporation / East,SRCA
SERC Reliability Corporation / Southeastern,SRSE
Southwest Power Pool / Central,SPPC
Southwest Power Pool / North,SPPN
Southwest Power Pool / South,SPPS
Texas Reliability Entity,TRE
Western Electricity Coordinating Council / Basin,BASIN
Western Electricity Coordinating Council / California North,CANO
Western Electricity Coordinating Council / California South,CASO
Western Electricity Coordinating Council / Northwest Power Pool Area,NWPP
Western Electricity Coordinating Council / Rockies,RMRG
Western Electricity Coordinating Council / Southwest,SRSG
