"Type","Range","LIB_Chem","Spec_Energy_WhPerKg","kgco2e_kwh","GWP","CO2.Total","CO2","CO2_Biogenic","CO2_LandUseChange","CH4.Total","CH4","CH4_Biogenic","VOC","CO","NOx","PM10","PM2.5","SOx","N2O","CF4","C2F6","BC","POC"
"CAR","150mile","LFP",129,45.1667207751938,5826.50698,4819.5,4888.9,-69.4,0.0026337,32.1496,32.1496,5.088e-07,1.4597,11.4445,6.7187,1.2485,0.9056,8.8663,0.1793,0.0036097,0.0005629,0.0605774,0.1413
"CAR","150mile","NCA",167.7,57.7033029218843,9676.8439,8342.4,8470.2,-127.9,0.0022111,42.454,42.454,4.977e-07,2.7249,16.3304,12.2419,3.0303,1.3597,87.6525,0.2539,0.0035316,0.0005507,0.0919416,0.2071
"CAR","150mile","LMO",131.8,36.4142836115326,4799.40258,3949.3,4008,-58.7,0.002787,27.1601,27.1601,4.947e-07,1.6546,10.2292,4.6456,2.2859,1.5384,6.5048,0.1492,0.0035093,0.0005473,0.0988338,0.2538
"CAR","150mile","NMC111",156.8,55.3086585459184,8672.39766,7452.4,7564.7,-112.3,0.0045245,38.8682,38.8682,4.937e-07,2.0711,14.4364,9.7043,4.8373,1.5056,46.4647,0.2261,0.0035009,0.000546,0.0783158,0.1684
"CAR","150mile","NMC532",163.3,53.3079975505205,8705.196,7459.8,7570.8,-111,0.004294,39.7095,39.7095,4.972e-07,2.1245,14.9188,10.1316,3.5828,1.3885,61.4145,0.2273,0.003526,0.0005499,0.0759381,0.1693
"CAR","150mile","NMC622",164.3,53.9635636031649,8866.2135,7606.4,7718.7,-112.3,0.0042419,40.153,40.153,4.98e-07,2.1832,15.2052,10.5478,3.4699,1.374,69.1441,0.2317,0.0035316,0.0005507,0.0780535,0.1737
"CAR","150mile","NMC811",172.4,53.4756276102088,9219.1982,7900.8,8024.5,-123.7,0.0021008,42.0035,42.0035,5.012e-07,2.3181,15.8513,11.5917,2.5499,1.3001,83.175,0.2443,0.0035567,0.0005546,0.085563,0.1961
"CAR","200mile","LFP",133.9,43.7467027632562,5857.6835,4825,4894,-69,0.0027352,32.9755,32.9755,5.053e-07,1.4402,11.4037,6.8016,1.2439,0.9081,8.8536,0.1832,0.0035846,0.000559,0.0620414,0.1439
"CAR","200mile","NCA",175.6,56.250782118451,9877.63734,8497.8,8627.1,-129.3,0.0023155,43.9278,43.9278,4.914e-07,2.7631,16.5522,12.587,3.11,1.3838,91.3558,0.2593,0.003487,0.0005438,0.0951011,0.213
"CAR","200mile","LMO",136.8,34.9904122807018,4786.6884,3917.1,3974.8,-57.7,0.0028923,27.792,27.792,4.9e-07,1.6427,10.1495,4.6446,2.3204,1.5643,6.3994,0.1516,0.0034759,0.000542,0.1017,0.2605
"CAR","200mile","NMC111",163.3,53.8927451316595,8800.68528,7545.5,7658.4,-112.9,0.0047109,40.0096,40.0096,4.887e-07,2.0756,14.5412,9.8965,4.9802,1.5323,47.997,0.2304,0.0034647,0.0005403,0.0804873,0.1719
"CAR","200mile","NMC532",170.9,51.8745455822118,8865.35984,7578.7,7690.6,-111.9,0.0044923,41.0548,41.0548,4.906e-07,2.135,15.0763,10.3783,3.6866,1.4136,63.8254,0.2316,0.0034786,0.0005425,0.0783313,0.1735
"CAR","200mile","NMC622",171.9,52.5264890052356,9029.30346,7728.1,7841.2,-113.1,0.0044384,41.5007,41.5007,4.918e-07,2.1957,15.371,10.8106,3.5684,1.3983,71.9212,0.2362,0.003487,0.0005438,0.0805281,0.178
"CAR","200mile","NMC811",180.7,52.0512977310459,9405.6695,8041.4,8166.5,-125.1,0.0022017,43.497,43.497,4.95e-07,2.3379,16.058,11.9147,2.6083,1.3218,86.729,0.2493,0.0035121,0.0005477,0.0884904,0.2017
"CAR","300mile","LFP",142.9,41.7905017494751,5971.8627,4890.4,4960,-69.6,0.002917,34.562,34.562,4.915e-07,1.4179,11.3962,6.996,1.2398,0.9134,8.8394,0.1887,0.003487,0.0005438,0.0649489,0.1498
"CAR","300mile","NCA",192.1,54.1536872462259,10402.92332,8925,9059.6,-134.6,0.0025321,47.1524,47.1524,4.719e-07,2.8615,17.1088,13.3881,3.2837,1.4371,99.0772,0.2666,0.0033476,0.000522,0.1022,0.2273
"CAR","300mile","LMO",145.9,33.0709211788896,4825.0474,3918.1,3975.3,-57.2,0.0030862,29.031,29.031,4.774e-07,1.6334,10.0649,4.6912,2.389,1.6142,6.2292,0.1532,0.0033867,0.0005281,0.1072,0.2741
"CAR","300mile","NMC111",177.3,51.8251311900733,9188.59576,7854.2,7970.6,-116.4,0.005115,42.6182,42.6182,4.715e-07,2.1049,14.8555,10.4004,5.2987,1.5937,51.3532,0.2358,0.0033421,0.0005212,0.0857194,0.1815
"CAR","300mile","NMC532",185.8,49.8369783638321,9259.71058,7890,8005.2,-115.2,0.0048852,43.7941,43.7941,4.734e-07,2.1703,15.4516,10.9282,3.8984,1.4658,68.6322,0.2368,0.003356,0.0005233,0.0834377,0.1833
"CAR","300mile","NMC622",187,50.5280168983957,9448.73916,8062.1,8178.8,-116.7,0.0048295,44.3182,44.3182,4.738e-07,2.2377,15.7819,11.4088,3.772,1.4497,77.4789,0.2416,0.0033588,0.0005238,0.0859044,0.1884
"CAR","300mile","NMC811",197.7,49.9744227617603,9879.94338,8419.1,8548.8,-129.7,0.0024093,46.6846,46.6846,4.758e-07,2.3968,16.5779,12.6498,2.7359,1.3695,94.0695,0.2551,0.0033755,0.0005264,0.0949334,0.2148
"SUV","150mile","LFP",135.6,43.6948889380531,5925.02694,4881.2,4952.1,-70.9,0.0027701,33.3073,33.3073,4.911e-07,1.4439,11.4193,6.8776,1.2443,0.9082,8.8325,0.1878,0.0034842,0.0005433,0.0628578,0.1461
"SUV","150mile","NCA",180.9,55.9251699281371,10116.86324,8703,8836.2,-133.2,0.0023854,45.0293,45.0293,4.722e-07,2.8068,16.7705,12.9028,3.1692,1.4008,93.8367,0.2637,0.0033504,0.0005225,0.0977548,0.2191
"SUV","150mile","LMO",138.8,34.8819497118156,4841.61462,3961.9,4021.1,-59.1,0.0029356,28.1144,28.1144,4.782e-07,1.6494,10.1591,4.693,2.3375,1.5752,6.3536,0.1535,0.0033922,0.000529,0.1032,0.2646
"SUV","150mile","NMC111",167.5,53.6202862089552,8981.39794,7700.1,7816.1,-116,0.0048308,40.8538,40.8538,4.718e-07,2.0955,14.6715,10.0996,5.0775,1.5504,48.9827,0.2339,0.0033449,0.0005216,0.0823882,0.1762
"SUV","150mile","NMC532",175.2,51.6144140410959,9042.84534,7729.9,7844.8,-114.9,0.0046061,41.9048,41.9048,4.737e-07,2.1564,15.2211,10.5896,3.7508,1.4285,65.2087,0.2351,0.0033588,0.0005238,0.0801486,0.1777
"SUV","150mile","NMC622",176.3,52.2907718661373,9218.86308,7890.2,8006.5,-116.3,0.0045541,42.3901,42.3901,4.741e-07,2.2197,15.5307,11.0412,3.6316,1.4133,73.5541,0.2397,0.0033616,0.0005242,0.0824673,0.1825
"SUV","150mile","NMC811",186,51.7354948387097,9622.80204,8226,8354.8,-128.7,0.0022677,44.5548,44.5548,4.757e-07,2.3692,16.2617,12.2031,2.6519,1.3366,89.0487,0.253,0.0033755,0.0005264,0.090895,0.2073
"SUV","200mile","LFP",137.8,42.9175587808418,5914.0396,4860,4929.6,-69.6,0.0028145,33.661,33.661,4.978e-07,1.4307,11.3921,6.8926,1.2419,0.9102,8.8441,0.1866,0.0035316,0.0005507,0.0633523,0.1466
"SUV","200mile","NCA",183.1,55.3050869470235,10126.36142,8701,8833.2,-132.2,0.0024149,45.4069,45.4069,4.793e-07,2.8086,16.7984,12.9619,3.1893,1.4077,94.8895,0.2646,0.0034006,0.0005303,0.0984016,0.2198
"SUV","200mile","LMO",140.8,34.130234375,4805.537,3919.4,3977.2,-57.8,0.002977,28.329,28.329,4.821e-07,1.6385,10.1044,4.6673,2.3496,1.5854,6.3156,0.1536,0.0034201,0.0005333,0.1041,0.2665
"SUV","200mile","NMC111",169.4,53.020972136954,8981.75268,7690.9,7805.9,-115,0.004888,41.1671,41.1671,4.781e-07,2.089,14.671,10.1271,5.1194,1.5587,49.459,0.2347,0.0033895,0.0005286,0.0828518,0.1764
"SUV","200mile","NMC532",177.4,50.9578564825254,9039.92374,7716.7,7830.4,-113.7,0.004663,42.2433,42.2433,4.8e-07,2.1499,15.2268,10.6208,3.7777,1.4354,65.9018,0.2358,0.0034034,0.0005307,0.080584,0.1779
"SUV","200mile","NMC622",178.4,51.6470927130045,9213.84134,7875.1,7990.1,-115.1,0.0046073,42.7228,42.7228,4.808e-07,2.2135,15.539,11.0723,3.6553,1.4196,74.3086,0.2403,0.003409,0.0005316,0.0828826,0.1826
"SUV","200mile","NMC811",188.4,51.0995472399151,9627.1547,8218.7,8346.4,-127.7,0.0022958,44.9385,44.9385,4.828e-07,2.365,16.2854,12.2542,2.6655,1.3427,90.0448,0.2538,0.0034257,0.0005342,0.0914605,0.2078
"SUV","300mile","LFP",144.1,41.5092988202637,5981.48996,4893.9,4963.4,-69.5,0.0029414,34.7612,34.7612,4.947e-07,1.4106,11.3602,7.0182,1.2384,0.9147,8.843,0.1894,0.0035093,0.0005473,0.0653117,0.1504
"SUV","300mile","NCA",194.8,53.8055581108829,10481.32272,8987.3,9122.3,-135,0.0025686,47.6899,47.6899,4.73e-07,2.8751,17.1877,13.5142,3.3125,1.4467,100.4,0.2669,0.003356,0.0005233,0.1033,0.2295
"SUV","300mile","LMO",147.1,32.7638693405846,4819.56518,3908.5,3965.3,-56.9,0.0031109,29.1646,29.1646,4.802e-07,1.6279,10.0158,4.6895,2.3963,1.6207,6.2071,0.1537,0.0034062,0.0005312,0.1079,0.2756
"SUV","300mile","NMC111",179.7,51.4808864774624,9251.1153,7903.4,8020.2,-116.8,0.0051832,43.0615,43.0615,4.727e-07,2.1072,14.8907,10.4827,5.3523,1.6048,51.9261,0.2362,0.0033504,0.0005225,0.0865833,0.1831
"SUV","300mile","NMC532",188.4,49.4655894904459,9319.31706,7935.6,8051,-115.4,0.0049531,44.2632,44.2632,4.742e-07,2.1732,15.4985,11.0159,3.9345,1.4753,69.4663,0.2369,0.0033616,0.0005242,0.0842728,0.1848
"SUV","300mile","NMC622",189.7,50.1197052187665,9507.70808,8107.2,8224.1,-116.8,0.0048975,44.7836,44.7836,4.75e-07,2.2414,15.8328,11.5011,3.8066,1.459,78.4473,0.2416,0.0033672,0.0005251,0.0867628,0.1899
"SUV","300mile","NMC811",200.6,49.6193461615155,9953.64084,8477,8607.1,-130.1,0.0024442,47.2138,47.2138,4.769e-07,2.4041,16.6485,12.7682,2.7571,1.3783,95.3117,0.2552,0.0033839,0.0005277,0.0959806,0.2169
"PUT","150mile","LFP",138.3,42.8443664497469,5925.37588,4866.9,4938.4,-71.5,0.0028229,33.7036,33.7036,4.852e-07,1.4235,11.2986,6.913,1.2354,0.9063,8.7844,0.1982,0.0034424,0.0005368,0.0636129,0.1474
