vehicle_type,vehicle_class,Emissions,g_per_vehlife,GWP_factor,GWP_component
ICE,CAR,CO2,5563226,1,5563226
ICE,CAR,"CO2 (VOC, CO, CO2)",5695473,NA,NA
ICE,CAR,CH4,12872.231,29.8,383592.4838
ICE,CAR,N2O,167.407,273,45702.111000000004
ICE,CAR,GHGs,6162169,NA,NA
ICE,CAR,VOC: Total,32742.786,NA,NA
ICE,CAR,CO: Total,19216.957,NA,NA
ICE,CAR,NOx: Total,6476.588,NA,NA
ICE,CAR,PM10: Total,2161.1,NA,NA
ICE,CAR,PM2.5: Total,1104.465,NA,NA
ICE,CAR,SOx: Total,14955.363,NA,NA
ICE,CAR,BC: Total,34.007,NA,NA
ICE,CAR,OC: Total,79.847,NA,NA
EV,CAR,CO2,4662995,1,4662995
EV,CAR,"CO2 (VOC, CO, CO2)",4793517,NA,NA
EV,CAR,CH4,11150.510000000002,29.8,332285.1980000001
EV,CAR,N2O,161.81300000000002,273,44174.94900000001
EV,CAR,GHGs,5197555,NA,NA
EV,CAR,VOC: Total,32382.907999999996,NA,NA
EV,CAR,CO: Total,18833.565,NA,NA
EV,CAR,NOx: Total,5342.417999999999,NA,NA
EV,CAR,PM10: Total,1950.5690000000002,NA,NA
EV,CAR,PM2.5: Total,957.296,NA,NA
EV,CAR,SOx: Total,12495.094999999994,NA,NA
EV,CAR,BC: Total,27.137,NA,NA
EV,CAR,OC: Total,70.17800000000001,NA,NA
ICE,SUV,CO2,7062344,1,7062344
ICE,SUV,"CO2 (VOC, CO, CO2)",7292108,NA,NA
ICE,SUV,CH4,16327.002,29.8,486544.6596
ICE,SUV,N2O,216.902,273,59214.246
ICE,SUV,GHGs,7889745,NA,NA
ICE,SUV,VOC: Total,61763.01,NA,NA
ICE,SUV,CO: Total,23717.154,NA,NA
ICE,SUV,NOx: Total,8363.183,NA,NA
ICE,SUV,PM10: Total,2700.382,NA,NA
ICE,SUV,PM2.5: Total,1372.923,NA,NA
ICE,SUV,SOx: Total,18678.023,NA,NA
ICE,SUV,BC: Total,44.9,NA,NA
ICE,SUV,OC: Total,101.13,NA,NA
EV,SUV,CO2,5907715,1,5907715
EV,SUV,"CO2 (VOC, CO, CO2)",6136033,NA,NA
EV,SUV,CH4,14067.060000000005,29.8,419198.38800000015
EV,SUV,N2O,209.85600000000002,273,57290.68800000001
EV,SUV,GHGs,6653860,NA,NA
EV,SUV,VOC: Total,61348.649000000005,NA,NA
EV,SUV,CO: Total,23618.496000000003,NA,NA
EV,SUV,NOx: Total,6879.723,NA,NA
EV,SUV,PM10: Total,2456.573,NA,NA
EV,SUV,PM2.5: Total,1200.614,NA,NA
EV,SUV,SOx: Total,15569.233,NA,NA
EV,SUV,BC: Total,35.643,NA,NA
EV,SUV,OC: Total,88.74800000000002,NA,NA
ICE,PUT,CO2,8201651,1,8201651
ICE,PUT,"CO2 (VOC, CO, CO2)",8438069,NA,NA
ICE,PUT,CH4,18148.531,29.8,540826.2238
ICE,PUT,N2O,221.031,273,60341.463
ICE,PUT,GHGs,9139019,NA,NA
ICE,PUT,VOC: Total,62126.483,NA,NA
ICE,PUT,CO: Total,27230.531,NA,NA
ICE,PUT,NOx: Total,9429.294,NA,NA
ICE,PUT,PM10: Total,3138.203,NA,NA
ICE,PUT,PM2.5: Total,1693.86,NA,NA
ICE,PUT,SOx: Total,22604.097,NA,NA
ICE,PUT,BC: Total,48.513,NA,NA
ICE,PUT,OC: Total,113.062,NA,NA
EV,PUT,CO2,7152412,1,7152412
EV,PUT,"CO2 (VOC, CO, CO2)",7386860,NA,NA
EV,PUT,CH4,15997.856,29.8,476736.1088
EV,PUT,N2O,238.399,273,65082.927
EV,PUT,GHGs,8020162,NA,NA
EV,PUT,VOC: Total,61628.054,NA,NA
EV,PUT,CO: Total,26965.197,NA,NA
EV,PUT,NOx: Total,8021.373,NA,NA
EV,PUT,PM10: Total,2941.2909999999997,NA,NA
EV,PUT,PM2.5: Total,1533.2119999999998,NA,NA
EV,PUT,SOx: Total,19565.31599999999,NA,NA
EV,PUT,BC: Total,39.67100000000001,NA,NA
EV,PUT,OC: Total,102.24800000000002,NA,NA
