"Scenario","Year","age","modelYear","vehSize","EV"
"Ambitious-Long",2022,0,2022,"Car",103.080774595594
"Ambitious-Long",2022,0,2022,"Light Truck",151.919225404406
"Ambitious-Long",2022,1,2021,"Car",71.2721568024004
"Ambitious-Long",2022,1,2021,"Light Truck",105.7278431976
"Ambitious-Long",2022,2,2020,"Car",60.2769046661446
"Ambitious-Long",2022,2,2020,"Light Truck",89.7230953338554
"Ambitious-Long",2022,3,2019,"Car",85.469491719592
"Ambitious-Long",2022,3,2019,"Light Truck",125.530508280408
"Ambitious-Long",2022,4,2018,"Car",125.09421516305
"Ambitious-Long",2022,4,2018,"Light Truck",181.90578483695
"Ambitious-Long",2022,5,2017,"Car",97.7655111316281
"Ambitious-Long",2022,5,2017,"Light Truck",140.234488868372
"Ambitious-Long",2022,6,2016,"Car",446.415643826528
"Ambitious-Long",2022,6,2016,"Light Truck",629.584356173472
"Ambitious-Long",2023,0,2023,"Car",116.466287924542
"Ambitious-Long",2023,0,2023,"Light Truck",172.533712075458
"Ambitious-Long",2023,1,2022,"Car",162.099571030719
"Ambitious-Long",2023,1,2022,"Light Truck",238.900428969281
"Ambitious-Long",2023,2,2021,"Car",111.94157961055
"Ambitious-Long",2023,2,2021,"Light Truck",166.05842038945
"Ambitious-Long",2023,3,2020,"Car",94.8356633414008
"Ambitious-Long",2023,3,2020,"Light Truck",141.164336658599
"Ambitious-Long",2023,4,2019,"Car",134.077733455853
"Ambitious-Long",2023,4,2019,"Light Truck",196.922266544147
"Ambitious-Long",2023,5,2018,"Car",195.994519522564
"Ambitious-Long",2023,5,2018,"Light Truck",285.005480477436
"Ambitious-Long",2023,6,2017,"Car",152.809958575486
"Ambitious-Long",2023,6,2017,"Light Truck",219.190041424514
"Ambitious-Long",2023,7,2016,"Car",695.346300235372
"Ambitious-Long",2023,7,2016,"Light Truck",980.653699764627
"Ambitious-Long",2024,0,2024,"Car",210.975165887361
"Ambitious-Long",2024,0,2024,"Light Truck",348.024834112639
"Ambitious-Long",2024,1,2023,"Car",183.363878912341
"Ambitious-Long",2024,1,2023,"Light Truck",271.636121087659
"Ambitious-Long",2024,2,2022,"Car",255.478625664375
"Ambitious-Long",2024,2,2022,"Light Truck",376.521374335626
"Ambitious-Long",2024,3,2021,"Car",175.965720466943
"Ambitious-Long",2024,3,2021,"Light Truck",261.034279533057
"Ambitious-Long",2024,4,2020,"Car",148.683031509823
