"Scenario","Year","State","vehSize","total_kwh"
"Ambitious",2022,"Alabama","Car",13656169.4764195
"Ambitious",2022,"Alabama","Light Truck",29570733.3066506
"Ambitious",2022,"Alaska","Car",3605923.67948906
"Ambitious",2022,"Alaska","Light Truck",5993508.73535695
"Ambitious",2022,"Arizona","Car",89085051.1460439
"Ambitious",2022,"Arizona","Light Truck",240546960.64755
"Ambitious",2022,"Arkansas","Car",8516954.04279503
"Ambitious",2022,"Arkansas","Light Truck",16819415.4856062
"Ambitious",2022,"California","Car",1625772856.8759
"Ambitious",2022,"California","Light Truck",2699563878.52437
"Ambitious",2022,"Colorado","Car",80959950.5415114
"Ambitious",2022,"Colorado","Light Truck",218557332.715719
"Ambitious",2022,"Connecticut","Car",25576425.6366528
"Ambitious",2022,"Connecticut","Light Truck",85885989.9924284
"Ambitious",2022,"Delaware","Car",9414017.09663023
"Ambitious",2022,"Delaware","Light Truck",17087176.677538
"Ambitious",2022,"District of Columbia","Car",10207045.0128937
"Ambitious",2022,"District of Columbia","Light Truck",18514795.3852165
"Ambitious",2022,"Florida","Car",292437744.257132
"Ambitious",2022,"Florida","Light Truck",530595083.726184
"Ambitious",2022,"Georgia","Car",109025990.178168
"Ambitious",2022,"Georgia","Light Truck",197087290.212374
"Ambitious",2022,"Hawaii","Car",35334883.2310141
"Ambitious",2022,"Hawaii","Light Truck",58630539.7108614
"Ambitious",2022,"Idaho","Car",7999182.00256458
"Ambitious",2022,"Idaho","Light Truck",21597352.1117891
"Ambitious",2022,"Illinois","Car",77307931.8341371
"Ambitious",2022,"Illinois","Light Truck",262997232.600448
"Ambitious",2022,"Indiana","Car",20459695.0867385
"Ambitious",2022,"Indiana","Light Truck",69626741.0983163
"Ambitious",2022,"Iowa","Car",6879333.40138996
"Ambitious",2022,"Iowa","Light Truck",24844770.393822
"Ambitious",2022,"Kansas","Car",8395046.89368077
"Ambitious",2022,"Kansas","Light Truck",30301979.0869567
"Ambitious",2022,"Kentucky","Car",11918328.4611743
"Ambitious",2022,"Kentucky","Light Truck",25807081.4564943
"Ambitious",2022,"Louisiana","Car",9783568.97554787
"Ambitious",2022,"Louisiana","Light Truck",19312364.9843954
"Ambitious",2022,"Maine","Car",5842609.68639516
"Ambitious",2022,"Maine","Light Truck",19637036.5290901
"Ambitious",2022,"Maryland","Car",80081958.8349171
"Ambitious",2022,"Maryland","Light Truck",145307631.367443
"Ambitious",2022,"Massachusetts","Car",57529368.5173632
"Ambitious",2022,"Massachusetts","Light Truck",193231720.522359
"Ambitious",2022,"Michigan","Car",38542922.3359638
"Ambitious",2022,"Michigan","Light Truck",131235064.200713
"Ambitious",2022,"Minnesota","Car",26879883.8308877
"Ambitious",2022,"Minnesota","Light Truck",97086500.9325237
"Ambitious",2022,"Mississippi","Car",3772304.31152092
"Ambitious",2022,"Mississippi","Light Truck",8171014.09554
"Ambitious",2022,"Missouri","Car",19836555.6203964
"Ambitious",2022,"Missouri","Light Truck",71615678.1398006
"Ambitious",2022,"Montana","Car",4508009.14109885
"Ambitious",2022,"Montana","Light Truck",12174173.5159567
"Ambitious",2022,"Nebraska","Car",5094742.34988743
"Ambitious",2022,"Nebraska","Light Truck",18397450.7252584
"Ambitious",2022,"Nevada","Car",44820374.5591853
"Ambitious",2022,"Nevada","Light Truck",121054067.599195
"Ambitious",2022,"New Hampshire","Car",8185257.87603283
"Ambitious",2022,"New Hampshire","Light Truck",27510542.9354037
"Ambitious",2022,"New Jersey","Car",110149783.619663
"Ambitious",2022,"New Jersey","Light Truck",331709661.66115
"Ambitious",2022,"New Mexico","Car",9643399.25119409
"Ambitious",2022,"New Mexico","Light Truck",26039228.0630219
"Ambitious",2022,"New York","Car",106718817.428271
"Ambitious",2022,"New York","Light Truck",321252709.166888
"Ambitious",2022,"North Carolina","Car",79353131.9640427
"Ambitious",2022,"North Carolina","Light Truck",144002773.344977
"Ambitious",2022,"North Dakota","Car",661514.39806247
"Ambitious",2022,"North Dakota","Light Truck",2391930.77665734
"Ambitious",2022,"Ohio","Car",39364687.5508478
"Ambitious",2022,"Ohio","Light Truck",133976102.522459
"Ambitious",2022,"Oklahoma","Car",27639001.1810821
"Ambitious",2022,"Oklahoma","Light Truck",54528509.3582672
"Ambitious",2022,"Oregon","Car",84491542.3189705
"Ambitious",2022,"Oregon","Light Truck",140317151.321732
"Ambitious",2022,"Pennsylvania","Car",59889675.7279399
"Ambitious",2022,"Pennsylvania","Light Truck",180307804.468198
"Ambitious",2022,"Rhode Island","Car",5029454.13118709
"Ambitious",2022,"Rhode Island","Light Truck",16901742.9966365
"Ambitious",2022,"South Carolina","Car",23539263.5217651
"Ambitious",2022,"South Carolina","Light Truck",42716696.3387816
"Ambitious",2022,"South Dakota","Car",1334446.77900691
"Ambitious",2022,"South Dakota","Light Truck",4819375.3579642
"Ambitious",2022,"Tennessee","Car",34403541.9776497
"Ambitious",2022,"Tennessee","Light Truck",74434537.5843838
"Ambitious",2022,"Texas","Car",246779562.695837
"Ambitious",2022,"Texas","Light Truck",487067880.249954
"Ambitious",2022,"Utah","Car",37918209.5006188
"Ambitious",2022,"Utah","Light Truck",102345892.115788
"Ambitious",2022,"Vermont","Car",6158814.93340508
"Ambitious",2022,"Vermont","Light Truck",20695075.019871
"Ambitious",2022,"Virginia","Car",98476426.4490689
"Ambitious",2022,"Virginia","Light Truck",178702226.269173
"Ambitious",2022,"Washington","Car",187307736.455281
"Ambitious",2022,"Washington","Light Truck",311120834.872973
"Ambitious",2022,"West Virginia","Car",3325337.27323566
"Ambitious",2022,"West Virginia","Light Truck",6038429.63088699
"Ambitious",2022,"Wisconsin","Car",18059942.8523109
"Ambitious",2022,"Wisconsin","Light Truck",61362923.0362986
"Ambitious",2022,"Wyoming","Car",1083426.25329985
"Ambitious",2022,"Wyoming","Light Truck",2920785.149291
"Ambitious",2023,"Alabama","Car",19977809.9914779
"Ambitious",2023,"Alabama","Light Truck",44471146.8857555
"Ambitious",2023,"Alaska","Car",4770251.53304983
"Ambitious",2023,"Alaska","Light Truck",8150595.74552646
"Ambitious",2023,"Arizona","Car",120850989.154724
"Ambitious",2023,"Arizona","Light Truck",326373480.295572
"Ambitious",2023,"Arkansas","Car",11530767.8038729
"Ambitious",2023,"Arkansas","Light Truck",23553049.6885785
"Ambitious",2023,"California","Car",2216230772.93784
"Ambitious",2023,"California","Light Truck",3794201355.27689
"Ambitious",2023,"Colorado","Car",121545395.958068
"Ambitious",2023,"Colorado","Light Truck",328159673.005308
"Ambitious",2023,"Connecticut","Car",36500973.5674688
"Ambitious",2023,"Connecticut","Light Truck",123120056.86126
"Ambitious",2023,"Delaware","Car",14205237.2800161
"Ambitious",2023,"Delaware","Light Truck",27030972.2256796
"Ambitious",2023,"District of Columbia","Car",13647977.5316426
"Ambitious",2023,"District of Columbia","Light Truck",25659120.5080812
"Ambitious",2023,"Florida","Car",430796874.923533
"Ambitious",2023,"Florida","Light Truck",817870720.503008
"Ambitious",2023,"Georgia","Car",160219606.590354
"Ambitious",2023,"Georgia","Light Truck",303484982.983857
"Ambitious",2023,"Hawaii","Car",44819479.0972918
"Ambitious",2023,"Hawaii","Light Truck",76212182.9262395
"Ambitious",2023,"Idaho","Car",11475521.7666086
"Ambitious",2023,"Idaho","Light Truck",30994360.5617749
"Ambitious",2023,"Illinois","Car",115914093.465643
"Ambitious",2023,"Illinois","Light Truck",389016403.149138
"Ambitious",2023,"Indiana","Car",30365029.3736473
"Ambitious",2023,"Indiana","Light Truck",101946742.107238
"Ambitious",2023,"Iowa","Car",10063266.0229724
"Ambitious",2023,"Iowa","Light Truck",35757068.7088778
"Ambitious",2023,"Kansas","Car",12612506.0626547
"Ambitious",2023,"Kansas","Light Truck",44753892.3956529
"Ambitious",2023,"Kentucky","Car",17812399.8499212
"Ambitious",2023,"Kentucky","Light Truck",39692240.1039996
"Ambitious",2023,"Louisiana","Car",13242068.6204993
"Ambitious",2023,"Louisiana","Light Truck",27035505.3339811
"Ambitious",2023,"Maine","Car",8588229.40597921
"Ambitious",2023,"Maine","Light Truck",29000651.4867985
"Ambitious",2023,"Maryland","Car",121604936.958466
"Ambitious",2023,"Maryland","Light Truck",231445872.618811
"Ambitious",2023,"Massachusetts","Car",85456967.7158511
"Ambitious",2023,"Massachusetts","Light Truck",288545122.490777
"Ambitious",2023,"Michigan","Car",58924048.204806
"Ambitious",2023,"Michigan","Light Truck",197850378.181378
"Ambitious",2023,"Minnesota","Car",41515110.9331252
"Ambitious",2023,"Minnesota","Light Truck",147224879.002385
"Ambitious",2023,"Mississippi","Car",5537914.44659503
"Ambitious",2023,"Mississippi","Light Truck",12333783.5485306
"Ambitious",2023,"Missouri","Car",30113496.1455155
"Ambitious",2023,"Missouri","Light Truck",106849105.527791
"Ambitious",2023,"Montana","Car",6239792.05903524
"Ambitious",2023,"Montana","Light Truck",16855525.7301287
"Ambitious",2023,"Nebraska","Car",7720279.10124934
"Ambitious",2023,"Nebraska","Light Truck",27396077.4673094
"Ambitious",2023,"Nevada","Car",64226118.0033382
"Ambitious",2023,"Nevada","Light Truck",173514328.951561
"Ambitious",2023,"New Hampshire","Car",11481048.4654
"Ambitious",2023,"New Hampshire","Light Truck",38748286.3354916
"Ambitious",2023,"New Jersey","Car",170369253.951801
"Ambitious",2023,"New Jersey","Light Truck",512270687.880935
"Ambitious",2023,"New Mexico","Car",13927094.4774083
"Ambitious",2023,"New Mexico","Light Truck",37617136.1403219
"Ambitious",2023,"New York","Car",165381260.46042
"Ambitious",2023,"New York","Light Truck",497034103.577208
"Ambitious",2023,"North Carolina","Car",118587868.847298
"Ambitious",2023,"North Carolina","Light Truck",225415227.260466
"Ambitious",2023,"North Dakota","Car",1122592.63714809
"Ambitious",2023,"North Dakota","Light Truck",3967124.21596413
"Ambitious",2023,"Ohio","Car",58585657.8988143
