"period","State","ev_share"
2015,"Alabama",0.00178380306814128
2016,"Alabama",0.00178380306814128
2017,"Alabama",0.00298804780876494
2018,"Alabama",0.00255754475703325
2019,"Alabama",0.00331282536677709
2020,"Alabama",0.00382490437739057
2021,"Alabama",0.00413318025258324
2022,"Alabama",0.00404899281303776
2015,"Alaska",0.000713521227256511
2016,"Alaska",0.000713521227256511
2017,"Alaska",0.00199203187250996
2018,"Alaska",0.00051150895140665
2019,"Alaska",0.000946521533364884
2020,"Alaska",0.000849978750531237
2021,"Alaska",0.000918484500574053
2022,"Alaska",0.000708573742281607
2015,"Arizona",0.016767748840528
2016,"Arizona",0.016767748840528
2017,"Arizona",0.0249003984063745
2018,"Arizona",0.0276214833759591
2019,"Arizona",0.0326549929010885
2020,"Arizona",0.0395240118997025
2021,"Arizona",0.0273249138920781
2022,"Arizona",0.0254074299018119
2015,"Arkansas",0.000713521227256511
2016,"Arkansas",0.000713521227256511
2017,"Arkansas",0.00099601593625498
2018,"Arkansas",0.00153452685421995
2019,"Arkansas",0.00141978230004733
2020,"Arkansas",0.00169995750106247
2021,"Arkansas",0.00252583237657865
2022,"Arkansas",0.00273307014880049
2015,"California",0.504816268283981
2016,"California",0.504816268283981
2017,"California",0.4800796812749
2018,"California",0.428644501278772
2019,"California",0.360624704212021
2020,"California",0.321291967700807
2021,"California",0.316417910447761
2022,"California",0.344670513209839
2015,"Colorado",0.0189083125222975
2016,"Colorado",0.0189083125222975
2017,"Colorado",0.0268924302788845
2018,"Colorado",0.0230179028132992
2019,"Colorado",0.0317084713677236
2020,"Colorado",0.023374415639609
2021,"Colorado",0.0282433983926521
2022,"Colorado",0.0231804838546412
2015,"Connecticut",0.00713521227256511
2016,"Connecticut",0.00713521227256511
2017,"Connecticut",0.0099601593625498
2018,"Connecticut",0.010230179028133
2019,"Connecticut",0.0089919545669664
2020,"Connecticut",0.00892477688057799
2021,"Connecticut",0.00987370838117107
2022,"Connecticut",0.00880655936835712
2015,"Delaware",0.00107028184088477
2016,"Delaware",0.00107028184088477
2017,"Delaware",0.00099601593625498
2018,"Delaware",0.0020460358056266
2019,"Delaware",0.00236630383341221
2020,"Delaware",0.00254993625159371
2021,"Delaware",0.00252583237657865
2022,"Delaware",0.00242939568782265
2015,"District of Columbia",0.00214056368176953
2016,"District of Columbia",0.00214056368176953
2017,"District of Columbia",0.00199203187250996
2018,"District of Columbia",0.00153452685421995
2019,"District of Columbia",0.00331282536677709
2020,"District of Columbia",0.00254993625159371
2021,"District of Columbia",0.00298507462686567
2022,"District of Columbia",0.00222694604717077
2015,"Florida",0.0413842311808776
2016,"Florida",0.0413842311808776
2017,"Florida",0.0428286852589641
2018,"Florida",0.0588235294117647
2019,"Florida",0.061050638902035
2020,"Florida",0.0760730981725457
2021,"Florida",0.0858783008036739
2022,"Florida",0.0732867699159834
2015,"Georgia",0.064216910453086
2016,"Georgia",0.064216910453086
2017,"Georgia",0
2018,"Georgia",0.00767263427109974
2019,"Georgia",0.0146710837671557
2020,"Georgia",0.0191245218869528
2021,"Georgia",0.0241102181400689
2022,"Georgia",0.0264196781050714
