"SRNAME","key","value","fuel","share","period"
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2022
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2023
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2024
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2025
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2026
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2027
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2028
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2029
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2030
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2031
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2032
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2033
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2034
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2035
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2036
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2037
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2038
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2039
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2040
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2041
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2042
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2043
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2044
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2045
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2046
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2047
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2048
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2049
"HICC Miscellaneous","SRGENACL",0,"Coal",0,2050
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.658525116731908,2022
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.658525116731908,2023
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.628592156880457,2024
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.598659197029007,2025
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.568726237177557,2026
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.538793277326106,2027
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.508860317474656,2028
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.478927357623206,2029
"HICC Miscellaneous","SRGENAOL",1721735.651,"Petroleum",0.448994397771755,2030
