"Scenario","Year","State","vehSize","total_gallons"
"Ambitious",2022,"Alabama","Car",1541557.3046248
"Ambitious",2022,"Alabama","Light Truck",3433838.65613573
"Ambitious",2022,"Alaska","Car",440683.341823184
"Ambitious",2022,"Alaska","Light Truck",846978.857412933
"Ambitious",2022,"Arizona","Car",11216410.5996716
"Ambitious",2022,"Arizona","Light Truck",28322976.0297553
"Ambitious",2022,"Arkansas","Car",929262.330133862
"Ambitious",2022,"Arkansas","Light Truck",2047721.11349621
"Ambitious",2022,"California","Car",169345338.534754
"Ambitious",2022,"California","Light Truck",325146559.352409
"Ambitious",2022,"Colorado","Car",10574255.2426833
"Ambitious",2022,"Colorado","Light Truck",26695060.2193495
"Ambitious",2022,"Connecticut","Car",3693830.16864745
"Ambitious",2022,"Connecticut","Light Truck",9752780.05459924
"Ambitious",2022,"Delaware","Car",1028350.67629215
"Ambitious",2022,"Delaware","Light Truck",2148354.68736846
"Ambitious",2022,"District of Columbia","Car",1115023.31201978
"Ambitious",2022,"District of Columbia","Light Truck",2327889.88036646
"Ambitious",2022,"Florida","Car",31004457.6735068
"Ambitious",2022,"Florida","Light Truck",64746920.1374541
"Ambitious",2022,"Georgia","Car",11555963.7687646
"Ambitious",2022,"Georgia","Light Truck",24041405.985579
"Ambitious",2022,"Hawaii","Car",3766300.97434523
"Ambitious",2022,"Hawaii","Light Truck",7226038.6743476
"Ambitious",2022,"Idaho","Car",1045442.7679647
"Ambitious",2022,"Idaho","Light Truck",2639637.9269816
"Ambitious",2022,"Illinois","Car",11130942.8755903
"Ambitious",2022,"Illinois","Light Truck",30340980.4883924
"Ambitious",2022,"Indiana","Car",2908357.28155701
"Ambitious",2022,"Indiana","Light Truck",7930468.44142257
"Ambitious",2022,"Iowa","Car",1009000.37329093
"Ambitious",2022,"Iowa","Light Truck",2933473.39587695
"Ambitious",2022,"Kansas","Car",1187290.84438757
"Ambitious",2022,"Kansas","Light Truck",3449864.43970655
"Ambitious",2022,"Kentucky","Car",1382275.81638508
"Ambitious",2022,"Kentucky","Light Truck",3078961.38778344
"Ambitious",2022,"Louisiana","Car",1049231.18875905
"Ambitious",2022,"Louisiana","Light Truck",2311045.68297677
"Ambitious",2022,"Maine","Car",886389.734814801
"Ambitious",2022,"Maine","Light Truck",2342456.20423888
"Ambitious",2022,"Maryland","Car",8760170.89316148
"Ambitious",2022,"Maryland","Light Truck",18294978.5975813
"Ambitious",2022,"Massachusetts","Car",8372247.13933515
"Ambitious",2022,"Massachusetts","Light Truck",22110769.1418457
"Ambitious",2022,"Michigan","Car",5610532.52428295
"Ambitious",2022,"Michigan","Light Truck",15306995.1307965
"Ambitious",2022,"Minnesota","Car",4089814.95354587
"Ambitious",2022,"Minnesota","Light Truck",11891535.5443249
"Ambitious",2022,"Mississippi","Car",426189.885721604
"Ambitious",2022,"Mississippi","Light Truck",949649.345550903
"Ambitious",2022,"Missouri","Car",2781248.112904
"Ambitious",2022,"Missouri","Light Truck",8083137.65892091
"Ambitious",2022,"Montana","Car",614664.933451999
"Ambitious",2022,"Montana","Light Truck",1552331.37887017
"Ambitious",2022,"Nebraska","Car",738939.444819473
"Ambitious",2022,"Nebraska","Light Truck",2148055.21499113
"Ambitious",2022,"Nevada","Car",5661411.79152689
"Ambitious",2022,"Nevada","Light Truck",14299501.1952861
"Ambitious",2022,"New Hampshire","Car",1221175.8520916
"Ambitious",2022,"New Hampshire","Light Truck",3227181.79623804
"Ambitious",2022,"New Jersey","Car",14964088.4204605
"Ambitious",2022,"New Jersey","Light Truck",37540083.0444666
"Ambitious",2022,"New Mexico","Car",1204458.69102481
"Ambitious",2022,"New Mexico","Light Truck",3041443.19077318
"Ambitious",2022,"New York","Car",14721842.3360167
"Ambitious",2022,"New York","Light Truck",36917558.5469707
"Ambitious",2022,"North Carolina","Car",8464815.48106155
"Ambitious",2022,"North Carolina","Light Truck",17680353.3940726
"Ambitious",2022,"North Dakota","Car",102864.514040889
"Ambitious",2022,"North Dakota","Light Truck",299423.634888407
"Ambitious",2022,"Ohio","Car",5584731.35196924
"Ambitious",2022,"Ohio","Light Truck",15229912.8138074
"Ambitious",2022,"Oklahoma","Car",3048303.56986045
"Ambitious",2022,"Oklahoma","Light Truck",6710550.13467101
"Ambitious",2022,"Oregon","Car",9381661.39858477
"Ambitious",2022,"Oregon","Light Truck",18015633.1674204
"Ambitious",2022,"Pennsylvania","Car",8228672.65199723
"Ambitious",2022,"Pennsylvania","Light Truck",20637595.9188817
"Ambitious",2022,"Rhode Island","Car",725051.101602634
"Ambitious",2022,"Rhode Island","Light Truck",1915823.47072888
"Ambitious",2022,"South Carolina","Car",2490706.60744907
"Ambitious",2022,"South Carolina","Light Truck",5202290.61045687
"Ambitious",2022,"South Dakota","Car",200495.738831433
"Ambitious",2022,"South Dakota","Light Truck",582901.469161627
"Ambitious",2022,"Tennessee","Car",3944338.34988357
"Ambitious",2022,"Tennessee","Light Truck",8778510.93881848
"Ambitious",2022,"Texas","Car",26951093.2925802
"Ambitious",2022,"Texas","Light Truck",59354511.4259284
"Ambitious",2022,"Utah","Car",4935642.61801415
"Ambitious",2022,"Utah","Light Truck",12458093.5674031
"Ambitious",2022,"Vermont","Car",939344.127053552
"Ambitious",2022,"Vermont","Light Truck",2481819.42756508
"Ambitious",2022,"Virginia","Car",10658124.4467612
"Ambitious",2022,"Virginia","Light Truck",22261071.7646918
"Ambitious",2022,"Washington","Car",21131850.461668
"Ambitious",2022,"Washington","Light Truck",40586913.5824347
"Ambitious",2022,"West Virginia","Car",364134.874238702
"Ambitious",2022,"West Virginia","Light Truck",761068.570918904
"Ambitious",2022,"Wisconsin","Car",2696672.17969717
