"Scenario","Year","Vehicle","age","modelYear","LIB"
"Ambitious-Reference",2022,"Cars",0,2022,263
"Ambitious-Reference",2022,"Cars",1,2021,182
"Ambitious-Reference",2022,"Cars",2,2020,153
"Ambitious-Reference",2022,"Cars",3,2019,212
"Ambitious-Reference",2022,"Cars",4,2018,305
"Ambitious-Reference",2022,"Cars",5,2017,235
"Ambitious-Reference",2022,"Cars",6,2016,1051
"Ambitious-Reference",2023,"Cars",0,2023,231
"Ambitious-Reference",2023,"Cars",1,2022,310
"Ambitious-Reference",2023,"Cars",2,2021,214
"Ambitious-Reference",2023,"Cars",3,2020,179
"Ambitious-Reference",2023,"Cars",4,2019,248
"Ambitious-Reference",2023,"Cars",5,2018,356
"Ambitious-Reference",2023,"Cars",6,2017,273
"Ambitious-Reference",2023,"Cars",7,2016,1211
"Ambitious-Reference",2024,"Cars",0,2024,424
"Ambitious-Reference",2024,"Cars",1,2023,363
"Ambitious-Reference",2024,"Cars",2,2022,487
"Ambitious-Reference",2024,"Cars",3,2021,335
"Ambitious-Reference",2024,"Cars",4,2020,281
"Ambitious-Reference",2024,"Cars",5,2019,388
"Ambitious-Reference",2024,"Cars",6,2018,553
"Ambitious-Reference",2024,"Cars",7,2017,420
"Ambitious-Reference",2024,"Cars",8,2016,1837
"Ambitious-Reference",2025,"Cars",0,2025,738
"Ambitious-Reference",2025,"Cars",1,2024,667
"Ambitious-Reference",2025,"Cars",2,2023,570
"Ambitious-Reference",2025,"Cars",3,2022,764
"Ambitious-Reference",2025,"Cars",4,2021,525
"Ambitious-Reference",2025,"Cars",5,2020,439
"Ambitious-Reference",2025,"Cars",6,2019,602
"Ambitious-Reference",2025,"Cars",7,2018,851
"Ambitious-Reference",2025,"Cars",8,2017,638
"Ambitious-Reference",2025,"Cars",9,2016,2731
"Ambitious-Reference",2026,"Cars",0,2026,986
"Ambitious-Reference",2026,"Cars",1,2025,1159
"Ambitious-Reference",2026,"Cars",2,2024,1049
"Ambitious-Reference",2026,"Cars",3,2023,895
"Ambitious-Reference",2026,"Cars",4,2022,1197
"Ambitious-Reference",2026,"Cars",5,2021,820
"Ambitious-Reference",2026,"Cars",6,2020,681
"Ambitious-Reference",2026,"Cars",7,2019,927
"Ambitious-Reference",2026,"Cars",8,2018,1293
"Ambitious-Reference",2026,"Cars",9,2017,949
"Ambitious-Reference",2026,"Cars",10,2016,3943
"Ambitious-Reference",2027,"Cars",0,2027,1341
"Ambitious-Reference",2027,"Cars",1,2026,1541
"Ambitious-Reference",2027,"Cars",2,2025,1819
"Ambitious-Reference",2027,"Cars",3,2024,1647
"Ambitious-Reference",2027,"Cars",4,2023,1403
"Ambitious-Reference",2027,"Cars",5,2022,1872
"Ambitious-Reference",2027,"Cars",6,2021,1275
"Ambitious-Reference",2027,"Cars",7,2020,1051
"Ambitious-Reference",2027,"Cars",8,2019,1411
"Ambitious-Reference",2027,"Cars",9,2018,1929
"Ambitious-Reference",2027,"Cars",10,2017,1373
"Ambitious-Reference",2027,"Cars",11,2016,7270
"Ambitious-Reference",2028,"Cars",0,2028,1425
"Ambitious-Reference",2028,"Cars",1,2027,2076
"Ambitious-Reference",2028,"Cars",2,2026,2403
"Ambitious-Reference",2028,"Cars",3,2025,2848
"Ambitious-Reference",2028,"Cars",4,2024,2576
"Ambitious-Reference",2028,"Cars",5,2023,2186
"Ambitious-Reference",2028,"Cars",6,2022,2908
"Ambitious-Reference",2028,"Cars",7,2021,1964
"Ambitious-Reference",2028,"Cars",8,2020,1597
"Ambitious-Reference",2028,"Cars",9,2019,2102
"Ambitious-Reference",2028,"Cars",10,2018,2788
"Ambitious-Reference",2028,"Cars",11,2017,2526
"Ambitious-Reference",2028,"Cars",12,2016,9385
"Ambitious-Reference",2029,"Cars",0,2029,1808
"Ambitious-Reference",2029,"Cars",1,2028,2232
"Ambitious-Reference",2029,"Cars",2,2027,3193
"Ambitious-Reference",2029,"Cars",3,2026,3732
"Ambitious-Reference",2029,"Cars",4,2025,4438
"Ambitious-Reference",2029,"Cars",5,2024,4005
"Ambitious-Reference",2029,"Cars",6,2023,3380
"Ambitious-Reference",2029,"Cars",7,2022,4470
"Ambitious-Reference",2029,"Cars",8,2021,2979
"Ambitious-Reference",2029,"Cars",9,2020,2375
"Ambitious-Reference",2029,"Cars",10,2019,3034
"Ambitious-Reference",2029,"Cars",11,2018,5134
"Ambitious-Reference",2029,"Cars",12,2017,3259
"Ambitious-Reference",2029,"Cars",13,2016,11135
"Ambitious-Reference",2030,"Cars",0,2030,2141
"Ambitious-Reference",2030,"Cars",1,2029,2828
"Ambitious-Reference",2030,"Cars",2,2028,3489
"Ambitious-Reference",2030,"Cars",3,2027,4879
"Ambitious-Reference",2030,"Cars",4,2026,5756
"Ambitious-Reference",2030,"Cars",5,2025,6869
"Ambitious-Reference",2030,"Cars",6,2024,6175
"Ambitious-Reference",2030,"Cars",7,2023,5167
"Ambitious-Reference",2030,"Cars",8,2022,6768
"Ambitious-Reference",2030,"Cars",9,2021,4421
"Ambitious-Reference",2030,"Cars",10,2020,3418
"Ambitious-Reference",2030,"Cars",11,2019,5569
"Ambitious-Reference",2030,"Cars",12,2018,6617
"Ambitious-Reference",2030,"Cars",13,2017,3864
"Ambitious-Reference",2030,"Cars",14,2016,11871
"Ambitious-Reference",2031,"Cars",0,2031,2550
"Ambitious-Reference",2031,"Cars",1,2030,3354
"Ambitious-Reference",2031,"Cars",2,2029,4411
"Ambitious-Reference",2031,"Cars",3,2028,5439
"Ambitious-Reference",2031,"Cars",4,2027,7387
"Ambitious-Reference",2031,"Cars",5,2026,8810
"Ambitious-Reference",2031,"Cars",6,2025,10543
"Ambitious-Reference",2031,"Cars",7,2024,9418
"Ambitious-Reference",2031,"Cars",8,2023,7774
"Ambitious-Reference",2031,"Cars",9,2022,10005
"Ambitious-Reference",2031,"Cars",10,2021,6340
"Ambitious-Reference",2031,"Cars",11,2020,6258
"Ambitious-Reference",2031,"Cars",12,2019,7168
"Ambitious-Reference",2031,"Cars",13,2018,7836
"Ambitious-Reference",2031,"Cars",14,2017,4116
"Ambitious-Reference",2031,"Cars",15,2016,11155
"Ambitious-Reference",2032,"Cars",0,2032,3234
"Ambitious-Reference",2032,"Cars",1,2031,3985
"Ambitious-Reference",2032,"Cars",2,2030,5240
"Ambitious-Reference",2032,"Cars",3,2029,6859
"Ambitious-Reference",2032,"Cars",4,2028,8428
"Ambitious-Reference",2032,"Cars",5,2027,11099
"Ambitious-Reference",2032,"Cars",6,2026,13376
"Ambitious-Reference",2032,"Cars",7,2025,16015
"Ambitious-Reference",2032,"Cars",8,2024,14151
"Ambitious-Reference",2032,"Cars",9,2023,11449
"Ambitious-Reference",2032,"Cars",10,2022,14344
"Ambitious-Reference",2032,"Cars",11,2021,11587
"Ambitious-Reference",2032,"Cars",12,2020,8036
"Ambitious-Reference",2032,"Cars",13,2019,8476
"Ambitious-Reference",2032,"Cars",14,2018,8337
"Ambitious-Reference",2032,"Cars",15,2017,3865
"Ambitious-Reference",2032,"Cars",16,2016,9121
"Ambitious-Reference",2033,"Cars",0,2033,4250
"Ambitious-Reference",2033,"Cars",1,2032,5028
"Ambitious-Reference",2033,"Cars",2,2031,6206
"Ambitious-Reference",2033,"Cars",3,2030,8161
"Ambitious-Reference",2033,"Cars",4,2029,10594
"Ambitious-Reference",2033,"Cars",5,2028,12964
"Ambitious-Reference",2033,"Cars",6,2027,16583
"Ambitious-Reference",2033,"Cars",7,2026,20130
"Ambitious-Reference",2033,"Cars",8,2025,23995
"Ambitious-Reference",2033,"Cars",9,2024,20829
"Ambitious-Reference",2033,"Cars",10,2023,16353
"Ambitious-Reference",2033,"Cars",11,2022,26251
"Ambitious-Reference",2033,"Cars",12,2021,14859
"Ambitious-Reference",2033,"Cars",13,2020,9484
"Ambitious-Reference",2033,"Cars",14,2019,9008
"Ambitious-Reference",2033,"Cars",15,2018,7818
"Ambitious-Reference",2033,"Cars",16,2017,3158
"Ambitious-Reference",2033,"Cars",17,2016,6475
"Ambitious-Reference",2034,"Cars",0,2034,5256
"Ambitious-Reference",2034,"Cars",1,2033,6566
"Ambitious-Reference",2034,"Cars",2,2032,7776
"Ambitious-Reference",2034,"Cars",3,2031,9623
"Ambitious-Reference",2034,"Cars",4,2030,12625
"Ambitious-Reference",2034,"Cars",5,2029,16239
"Ambitious-Reference",2034,"Cars",6,2028,19776
"Ambitious-Reference",2034,"Cars",7,2027,24661
"Ambitious-Reference",2034,"Cars",8,2026,29958
"Ambitious-Reference",2034,"Cars",9,2025,35265
"Ambitious-Reference",2034,"Cars",10,2024,29763
"Ambitious-Reference",2034,"Cars",11,2023,29820
"Ambitious-Reference",2034,"Cars",12,2022,33663
"Ambitious-Reference",2034,"Cars",13,2021,17526
"Ambitious-Reference",2034,"Cars",14,2020,10066
"Ambitious-Reference",2034,"Cars",15,2019,8441
"Ambitious-Reference",2034,"Cars",16,2018,6381
"Ambitious-Reference",2034,"Cars",17,2017,2240
"Ambitious-Reference",2034,"Cars",18,2016,4024
"Ambitious-Reference",2035,"Cars",0,2035,7315
"Ambitious-Reference",2035,"Cars",1,2034,8108
"Ambitious-Reference",2035,"Cars",2,2033,10062
"Ambitious-Reference",2035,"Cars",3,2032,11937
"Ambitious-Reference",2035,"Cars",4,2031,14794
"Ambitious-Reference",2035,"Cars",5,2030,19365
"Ambitious-Reference",2035,"Cars",6,2029,24682
"Ambitious-Reference",2035,"Cars",7,2028,29872
"Ambitious-Reference",2035,"Cars",8,2027,36412
"Ambitious-Reference",2035,"Cars",9,2026,43839
"Ambitious-Reference",2035,"Cars",10,2025,50367
"Ambitious-Reference",2035,"Cars",11,2024,54322
"Ambitious-Reference",2035,"Cars",12,2023,38146
"Ambitious-Reference",2035,"Cars",13,2022,39722
"Ambitious-Reference",2035,"Cars",14,2021,18601
"Ambitious-Reference",2035,"Cars",15,2020,9425
"Ambitious-Reference",2035,"Cars",16,2019,6889
"Ambitious-Reference",2035,"Cars",17,2018,4523
"Ambitious-Reference",2035,"Cars",18,2017,1392
"Ambitious-Reference",2035,"Cars",19,2016,2229
"Ambitious-Reference",2036,"Cars",0,2036,9261
"Ambitious-Reference",2036,"Cars",1,2035,11193
"Ambitious-Reference",2036,"Cars",2,2034,12391
"Ambitious-Reference",2036,"Cars",3,2033,15256
"Ambitious-Reference",2036,"Cars",4,2032,18111
