"Scenario","Year","age","modelYear","vehSize","LIB"
"Ambitious-Long",2022,0,2022,"Car",103.080774595594
"Ambitious-Long",2022,0,2022,"Light Truck",151.919225404406
"Ambitious-Long",2022,1,2021,"Car",71.2721568024004
"Ambitious-Long",2022,1,2021,"Light Truck",105.7278431976
"Ambitious-Long",2022,2,2020,"Car",60.2769046661446
"Ambitious-Long",2022,2,2020,"Light Truck",89.7230953338554
"Ambitious-Long",2022,3,2019,"Car",85.469491719592
"Ambitious-Long",2022,3,2019,"Light Truck",125.530508280408
"Ambitious-Long",2022,4,2018,"Car",125.09421516305
"Ambitious-Long",2022,4,2018,"Light Truck",181.90578483695
"Ambitious-Long",2022,5,2017,"Car",97.7655111316281
"Ambitious-Long",2022,5,2017,"Light Truck",140.234488868372
"Ambitious-Long",2022,6,2016,"Car",446.000759399179
"Ambitious-Long",2022,6,2016,"Light Truck",628.99924060082
"Ambitious-Long",2023,0,2023,"Car",87.4504653274244
"Ambitious-Long",2023,0,2023,"Light Truck",129.549534672576
"Ambitious-Long",2023,1,2022,"Car",121.675737855976
"Ambitious-Long",2023,1,2022,"Light Truck",179.324262144024
"Ambitious-Long",2023,2,2021,"Car",83.7548509316344
"Ambitious-Long",2023,2,2021,"Light Truck",124.245149068366
"Ambitious-Long",2023,3,2020,"Car",71.1267475060506
"Ambitious-Long",2023,3,2020,"Light Truck",105.873252493949
"Ambitious-Long",2023,4,2019,"Car",100.457032921606
"Ambitious-Long",2023,4,2019,"Light Truck",147.542967078394
"Ambitious-Long",2023,5,2018,"Car",175.620868844543
"Ambitious-Long",2023,5,2018,"Light Truck",255.379131155457
"Ambitious-Long",2023,6,2017,"Car",152.39917911695
"Ambitious-Long",2023,6,2017,"Light Truck",218.60082088305
"Ambitious-Long",2023,7,2016,"Car",694.101646953328
"Ambitious-Long",2023,7,2016,"Light Truck",978.898353046672
"Ambitious-Long",2024,0,2024,"Car",158.331838780229
"Ambitious-Long",2024,0,2024,"Light Truck",269.668161219771
"Ambitious-Long",2024,1,2023,"Car",137.422159800238
"Ambitious-Long",2024,1,2023,"Light Truck",203.577840199762
"Ambitious-Long",2024,2,2022,"Car",191.608969248281
"Ambitious-Long",2024,2,2022,"Light Truck",282.391030751719
"Ambitious-Long",2024,3,2021,"Car",132.074957238347
"Ambitious-Long",2024,3,2021,"Light Truck",195.925042761653
