"Scenario","Year","Vehicle","age","modelYear","LIB"
"Ambitious-Reference",2022,"Cars",0,2022,631
"Ambitious-Reference",2022,"Cars",1,2021,438
"Ambitious-Reference",2022,"Cars",2,2020,371
"Ambitious-Reference",2022,"Cars",3,2019,520
"Ambitious-Reference",2022,"Cars",4,2018,752
"Ambitious-Reference",2022,"Cars",5,2017,579
"Ambitious-Reference",2022,"Cars",6,2016,2588
"Ambitious-Reference",2023,"Cars",0,2023,713
"Ambitious-Reference",2023,"Cars",1,2022,991
"Ambitious-Reference",2023,"Cars",2,2021,687
"Ambitious-Reference",2023,"Cars",3,2020,581
"Ambitious-Reference",2023,"Cars",4,2019,813
"Ambitious-Reference",2023,"Cars",5,2018,1170
"Ambitious-Reference",2023,"Cars",6,2017,895
"Ambitious-Reference",2023,"Cars",7,2016,3960
"Ambitious-Reference",2024,"Cars",0,2024,1302
"Ambitious-Reference",2024,"Cars",1,2023,1120
"Ambitious-Reference",2024,"Cars",2,2022,1556
"Ambitious-Reference",2024,"Cars",3,2021,1076
"Ambitious-Reference",2024,"Cars",4,2020,908
"Ambitious-Reference",2024,"Cars",5,2019,1265
"Ambitious-Reference",2024,"Cars",6,2018,1810
"Ambitious-Reference",2024,"Cars",7,2017,1372
"Ambitious-Reference",2024,"Cars",8,2016,5976
"Ambitious-Reference",2025,"Cars",0,2025,2205
"Ambitious-Reference",2025,"Cars",1,2024,2045
"Ambitious-Reference",2025,"Cars",2,2023,1757
"Ambitious-Reference",2025,"Cars",3,2022,2437
"Ambitious-Reference",2025,"Cars",4,2021,1681
"Ambitious-Reference",2025,"Cars",5,2020,1414
"Ambitious-Reference",2025,"Cars",6,2019,1956
"Ambitious-Reference",2025,"Cars",7,2018,2771
"Ambitious-Reference",2025,"Cars",8,2017,2069
"Ambitious-Reference",2025,"Cars",9,2016,8815
"Ambitious-Reference",2026,"Cars",0,2026,2726
"Ambitious-Reference",2026,"Cars",1,2025,3464
"Ambitious-Reference",2026,"Cars",2,2024,3209
"Ambitious-Reference",2026,"Cars",3,2023,2753
"Ambitious-Reference",2026,"Cars",4,2022,3809
"Ambitious-Reference",2026,"Cars",5,2021,2616
"Ambitious-Reference",2026,"Cars",6,2020,2186
"Ambitious-Reference",2026,"Cars",7,2019,2996
"Ambitious-Reference",2026,"Cars",8,2018,4182
"Ambitious-Reference",2026,"Cars",9,2017,3053
"Ambitious-Reference",2026,"Cars",10,2016,12574
"Ambitious-Reference",2027,"Cars",0,2027,3273
"Ambitious-Reference",2027,"Cars",1,2026,4282
"Ambitious-Reference",2027,"Cars",2,2025,5435
"Ambitious-Reference",2027,"Cars",3,2024,5027
"Ambitious-Reference",2027,"Cars",4,2023,4301
"Ambitious-Reference",2027,"Cars",5,2022,5927
"Ambitious-Reference",2027,"Cars",6,2021,4045
"Ambitious-Reference",2027,"Cars",7,2020,3348
"Ambitious-Reference",2027,"Cars",8,2019,4521
"Ambitious-Reference",2027,"Cars",9,2018,6168
"Ambitious-Reference",2027,"Cars",10,2017,4354
"Ambitious-Reference",2027,"Cars",11,2016,17085
"Ambitious-Reference",2028,"Cars",0,2028,4034
"Ambitious-Reference",2028,"Cars",1,2027,5141
"Ambitious-Reference",2028,"Cars",2,2026,6718
"Ambitious-Reference",2028,"Cars",3,2025,8515
"Ambitious-Reference",2028,"Cars",4,2024,7855
"Ambitious-Reference",2028,"Cars",5,2023,6693
"Ambitious-Reference",2028,"Cars",6,2022,9166
"Ambitious-Reference",2028,"Cars",7,2021,6195
"Ambitious-Reference",2028,"Cars",8,2020,5051
"Ambitious-Reference",2028,"Cars",9,2019,6668
"Ambitious-Reference",2028,"Cars",10,2018,8797
"Ambitious-Reference",2028,"Cars",11,2017,5916
"Ambitious-Reference",2028,"Cars",12,2016,21514
"Ambitious-Reference",2029,"Cars",0,2029,4945
"Ambitious-Reference",2029,"Cars",1,2028,6337
"Ambitious-Reference",2029,"Cars",2,2027,8067
"Ambitious-Reference",2029,"Cars",3,2026,10524
"Ambitious-Reference",2029,"Cars",4,2025,13304
"Ambitious-Reference",2029,"Cars",5,2024,12223
"Ambitious-Reference",2029,"Cars",6,2023,10350
"Ambitious-Reference",2029,"Cars",7,2022,14037
"Ambitious-Reference",2029,"Cars",8,2021,9345
"Ambitious-Reference",2029,"Cars",9,2020,7450
"Ambitious-Reference",2029,"Cars",10,2019,9509
"Ambitious-Reference",2029,"Cars",11,2018,11952
"Ambitious-Reference",2029,"Cars",12,2017,7449
"Ambitious-Reference",2029,"Cars",13,2016,24684
"Ambitious-Reference",2030,"Cars",0,2030,5772
"Ambitious-Reference",2030,"Cars",1,2029,7768
"Ambitious-Reference",2030,"Cars",2,2028,9944
"Ambitious-Reference",2030,"Cars",3,2027,12636
"Ambitious-Reference",2030,"Cars",4,2026,16443
"Ambitious-Reference",2030,"Cars",5,2025,20702
"Ambitious-Reference",2030,"Cars",6,2024,18901
"Ambitious-Reference",2030,"Cars",7,2023,15849
"Ambitious-Reference",2030,"Cars",8,2022,21176
"Ambitious-Reference",2030,"Cars",9,2021,13782
"Ambitious-Reference",2030,"Cars",10,2020,10623
"Ambitious-Reference",2030,"Cars",11,2019,12918
