"Scenario","Year","age","modelYear","vehSize","LIB"
"Ambitious",2022,0,2022,"Car",254.265910669132
"Ambitious",2022,0,2022,"Light Truck",374.734089330868
"Ambitious",2022,1,2021,"Car",175.563052914387
"Ambitious",2022,1,2021,"Light Truck",260.436947085613
"Ambitious",2022,2,2020,"Car",148.683031509823
"Ambitious",2022,2,2020,"Light Truck",221.316968490177
"Ambitious",2022,3,2019,"Car",210.230645509328
"Ambitious",2022,3,2019,"Light Truck",308.769354490672
"Ambitious",2022,4,2018,"Car",306.419706197439
"Ambitious",2022,4,2018,"Light Truck",445.580293802561
"Ambitious",2022,5,2017,"Car",238.252085951026
"Ambitious",2022,5,2017,"Light Truck",341.747914048974
"Ambitious",2022,6,2016,"Car",1076.62508896825
"Ambitious",2022,6,2016,"Light Truck",1518.37491103175
"Ambitious",2023,0,2023,"Car",285.725253074396
"Ambitious",2023,0,2023,"Light Truck",423.274746925604
"Ambitious",2023,1,2022,"Car",399.791710098206
"Ambitious",2023,1,2022,"Light Truck",589.208289901794
"Ambitious",2023,2,2021,"Car",275.424605948259
"Ambitious",2023,2,2021,"Light Truck",408.575394051741
"Ambitious",2023,3,2020,"Car",232.668852011318
"Ambitious",2023,3,2020,"Light Truck",346.331147988682
"Ambitious",2023,4,2019,"Car",328.915769082032
"Ambitious",2023,4,2019,"Light Truck",483.084230917968
"Ambitious",2023,5,2018,"Car",476.743425865696
"Ambitious",2023,5,2018,"Light Truck",693.256574134304
"Ambitious",2023,6,2017,"Car",368.058394848482
"Ambitious",2023,6,2017,"Light Truck",527.941605151518
"Ambitious",2023,7,2016,"Car",811.928824320181
"Ambitious",2023,7,2016,"Light Truck",1145.07117567982
"Ambitious",2024,0,2024,"Car",520.807266647657
"Ambitious",2024,0,2024,"Light Truck",775.192733352343
"Ambitious",2024,1,2023,"Car",448.939255183183
"Ambitious",2024,1,2023,"Light Truck",665.060744816817
"Ambitious",2024,2,2022,"Car",627.377890872008
"Ambitious",2024,2,2022,"Light Truck",924.622109127992
"Ambitious",2024,3,2021,"Car",431.659616339962
"Ambitious",2024,3,2021,"Light Truck",640.340383660038
"Ambitious",2024,4,2020,"Car",363.670658152406
"Ambitious",2024,4,2020,"Light Truck",541.329341847594
"Ambitious",2024,5,2019,"Car",511.601744274146
"Ambitious",2024,5,2019,"Light Truck",751.398255725855
"Ambitious",2024,6,2018,"Car",737.526154544367
"Ambitious",2024,6,2018,"Light Truck",1072.47384545563
"Ambitious",2024,7,2017,"Car",563.589417111738
"Ambitious",2024,7,2017,"Light Truck",808.410582888262
"Ambitious",2024,8,2016,"Car",1086.99719965195
"Ambitious",2024,8,2016,"Light Truck",1533.00280034804
"Ambitious",2025,0,2025,"Car",922.538315296265
"Ambitious",2025,0,2025,"Light Truck",1273.46168470373
"Ambitious",2025,1,2024,"Car",818.583643642961
"Ambitious",2025,1,2024,"Light Truck",1218.41635635704
"Ambitious",2025,2,2023,"Car",704.842690588319
"Ambitious",2025,2,2023,"Light Truck",1044.15730941168
"Ambitious",2025,3,2022,"Car",982.703384477998
"Ambitious",2025,3,2022,"Light Truck",1448.296615522
"Ambitious",2025,4,2021,"Car",674.46815053119
"Ambitious",2025,4,2021,"Light Truck",1000.53184946881
"Ambitious",2025,5,2020,"Car",566.201057830651
"Ambitious",2025,5,2020,"Light Truck",842.798942169348
"Ambitious",2025,6,2019,"Car",791.099134257645
"Ambitious",2025,6,2019,"Light Truck",1161.90086574235
"Ambitious",2025,7,2018,"Car",1128.70024756237
"Ambitious",2025,7,2018,"Light Truck",1641.29975243763
"Ambitious",2025,8,2017,"Car",651.907000697032
"Ambitious",2025,8,2017,"Light Truck",935.092999302967
"Ambitious",2025,9,2016,"Car",1537.56168775196
"Ambitious",2025,9,2016,"Light Truck",2168.43831224804
"Ambitious",2026,0,2026,"Car",1092.77465964268
"Ambitious",2026,0,2026,"Light Truck",1617.22534035732
"Ambitious",2026,1,2025,"Car",1449.34298168129
"Ambitious",2026,1,2025,"Light Truck",2000.65701831871
"Ambitious",2026,2,2024,"Car",1284.73829588932
"Ambitious",2026,2,2024,"Light Truck",1912.26170411068
"Ambitious",2026,3,2023,"Car",1104.61624637083
"Ambitious",2026,3,2023,"Light Truck",1636.38375362917
"Ambitious",2026,4,2022,"Car",1536.10566064023
"Ambitious",2026,4,2022,"Light Truck",2263.89433935977
"Ambitious",2026,5,2021,"Car",1049.75430951332
"Ambitious",2026,5,2021,"Light Truck",1557.24569048668
"Ambitious",2026,6,2020,"Car",875.220655752419
"Ambitious",2026,6,2020,"Light Truck",1302.77934424758
"Ambitious",2026,7,2019,"Car",1211.15535659517
"Ambitious",2026,7,2019,"Light Truck",1778.84464340483
"Ambitious",2026,8,2018,"Car",1445.71425211238
"Ambitious",2026,8,2018,"Light Truck",2102.28574788762
"Ambitious",2026,9,2017,"Car",939.863401130945
"Ambitious",2026,9,2017,"Light Truck",1348.13659886905
"Ambitious",2026,10,2016,"Car",2041.64626697987
"Ambitious",2026,10,2016,"Light Truck",2879.35373302013
"Ambitious",2027,0,2027,"Car",1269.64231078441
"Ambitious",2027,0,2027,"Light Truck",1979.35768921559
"Ambitious",2027,1,2026,"Car",1717.39013853069
