"FIPS","County","ICEVs","HEVs","BEVs","T1","T2","objective","PHEVs","State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent","state0","county0"
"01001","Autauga County",1.072225068,1.114998984,1.187123234,26.996159594712,10.4548551440503,1.48472765063921e-10,1.13435495136486,"Alabama","Autauga County",1,1,"Autauga",60342,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","00"
"01003","Baldwin County",1.059221907,1.086635471,1.125774183,27.4333874554907,13.3689010489208,9.05156104854374e-12,1.0974799142821,"Alabama","Baldwin County",1,3,"Baldwin",253507,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","00"
"01005","Barbour County",1.06247406,1.098279268,1.1575487,26.7329002989751,11.4482163346747,2.46291675593449e-11,1.11423954391725,"Alabama","Barbour County",1,5,"Barbour",24585,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","00"
"01007","Bibb County",1.070349451,1.117903105,1.2035358,26.1467324706501,9.03846067825651,4.3225374579467e-10,1.14062290976775,"Alabama","Bibb County",1,7,"Bibb",21868,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","00"
"01009","Blount County",1.072924971,1.126179749,1.225288325,25.7157702408291,7.76611547828393,4.08781819490131e-11,1.1523304170416,"Alabama","Blount County",1,9,"Blount",59816,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","00"
"01011","Bullock County",1.063666806,1.101052251,1.163794589,26.6711460075243,11.1366731350706,1.14177166825896e-10,1.11790720565761,"Alabama","Bullock County",1,11,"Bullock",9897,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01013","Butler County",1.061647228,1.096897179,1.155169684,26.7059874917989,11.5231212442505,1.69213162504995e-11,1.11259350393846,"Alabama","Butler County",1,13,"Butler",18382,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01015","Calhoun County",1.071321633,1.122140016,1.215765017,25.8406031091647,8.26769285383546,9.3881465583143e-11,1.14689056694865,"Alabama","Calhoun County",1,15,"Calhoun",116429,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01017","Chambers County",1.065946244,1.113545382,1.201709084,25.6173108382632,8.65530496320002,2.95266245092943e-10,1.13683509190694,"Alabama","Chambers County",1,17,"Chambers",34079,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01019","Cherokee County",1.071926147,1.126100194,1.22815637,25.4759328193482,7.43909663280367,1.99544574259068e-10,1.1529774824489,"Alabama","Cherokee County",1,19,"Cherokee",25666,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01021","Chilton County",1.068541536,1.115377738,1.200127455,26.0260807853576,9.07513739481367,3.63189175498458e-11,1.13785016249191,"Alabama","Chilton County",1,21,"Chilton",46431,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01023","Choctaw County",1.06783288,1.106721512,1.17110666,26.9742610913649,11.0973937943139,2.01590321123667e-11,1.12405911353954,"Alabama","Choctaw County",1,23,"Choctaw",12252,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01025","Clarke County",1.063651282,1.099050437,1.156614651,26.9266804134524,11.6550119898606,3.33420337793539e-11,1.11460106692233,"Alabama","Clarke County",1,25,"Clarke",22337,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01027","Clay County",1.063815852,1.113200906,1.20719512,25.1296718676713,8.0056054139659,2.37391027750421e-10,1.13791667180331,"Alabama","Clay County",1,27,"Clay",14111,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01029","Cleburne County",1.06559129,1.116354543,1.212974876,25.1615767876559,7.79431785864534,2.1305927152708e-11,1.14175436019097,"Alabama","Cleburne County",1,29,"Cleburne",15639,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01031","Coffee County",1.062793107,1.096889372,1.151521605,26.9925074256099,11.9222463584328,1.30678399217655e-11,1.1116902919688,"Alabama","Coffee County",1,31,"Coffee",55643,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01033","Colbert County",1.076424033,1.135244955,1.246971005,25.4112580779815,6.60597928004315,8.63587199273086e-11,1.1646239419144,"Alabama","Colbert County",1,33,"Colbert",58361,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC Tennessee Valley","US-SERC","0","0"
"01035","Conecuh County",1.059658205,1.091845543,1.143210577,26.8654952899218,12.155535881736,4.08884687010411e-12,1.10577331122683,"Alabama","Conecuh County",1,35,"Conecuh",11174,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01037","Coosa County",1.068578142,1.116210802,1.203020184,25.9259789205418,8.86875114379661,1.65207499682631e-11,1.13919664663145,"Alabama","Coosa County",1,37,"Coosa",10268,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01039","Covington County",1.060678436,1.093352162,1.145428335,26.9246567226863,12.1151684050356,2.06012480213159e-11,1.10747762458761,"Alabama","Covington County",1,39,"Covington",37952,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01041","Crenshaw County",1.061418533,1.097503161,1.158080475,26.5693302401008,11.2841356771994,1.35286096896146e-11,1.11377305396497,"Alabama","Crenshaw County",1,41,"Crenshaw",13101,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
"01043","Cullman County",1.073542959,1.12928711,1.234557416,25.4668982908058,7.1677732376989,2.19918087649296e-10,1.15699053086118,"Alabama","Cullman County",1,43,"Cullman",92016,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC","0","0"
