"State","ICEVs","HEVs","PHEVs","BEVs"
"Alabama",1.06999659313999,1.11623037559665,1.1381287182011,1.19860991308002
"Arizona",1.11716814980283,1.1696772956293,1.19000413810636,1.24260083184428
"Arkansas",1.08820831278068,1.15553154795173,1.18907559784201,1.28300308341422
"California",1.05165717015288,1.08968685350228,1.10841227747004,1.16069075181236
"Colorado",1.15853013319605,1.30458561433065,1.3813261342609,1.59911891484171
"Connecticut",1.1341673712237,1.25769503678873,1.32259648630906,1.50675023552801
"Delaware",1.10644684546524,1.19793480522954,1.2451269586801,1.37851383855482
"District of Columbia",1.104115361,1.19133008,1.2359848150874,1.362028044
"Florida",1.07351613969705,1.09833785247398,1.10575780395019,1.12287778508533
"Georgia",1.06816565431781,1.11564212350206,1.13857707221568,1.20226963562011
"Idaho",1.16042591395027,1.30796876330814,1.38545232937923,1.60534732112089
"Illinois",1.14466849122028,1.27726057088426,1.34682876231818,1.54423198320397
"Indiana",1.13000264973857,1.24917357155193,1.31170391299531,1.48913397253589
"Iowa",1.16565423738528,1.3180928411375,1.39814185811169,1.62539098757939
"Kansas",1.12276926529312,1.2270262256945,1.28064032177477,1.43200581518166
"Kentucky",1.09891587483411,1.18599002671178,1.23120390603018,1.35916941120093
"Louisiana",1.06741181271236,1.09901488146933,1.11162243591193,1.14460655114236
"Maine",1.19306602800053,1.37104877272964,1.46456886495602,1.73003091822457
"Maryland",1.10693175423122,1.19956517022159,1.24745876029524,1.38286958307824
"Massachusetts",1.14325027311971,1.2753091187165,1.34469062896276,1.54166509528156
"Michigan",1.15973547715141,1.30696723088471,1.38432742800115,1.60391169847387
"Minnesota",1.20791839002151,1.39959315617446,1.50030787199561,1.78619141277926
"Mississippi",1.07135639696881,1.11488080005512,1.13483617858478,1.18944062094725
"Missouri",1.11410252784376,1.2131108440847,1.26432176386739,1.40913306357937
"Montana",1.21347659683085,1.4102753346251,1.51367448335273,1.80720838205818
"Nebraska",1.15221225067032,1.29101859885497,1.36374970211577,1.57008404000802
"Nevada",1.12309918587569,1.20550576356014,1.24473999044117,1.35324861338187
"New Hampshire",1.17337925375712,1.33321325362953,1.41719779149009,1.6555903035406
"New Jersey",1.11728626227196,1.22146097964133,1.27568188839414,1.42922960490785
"New Mexico",1.10931937885152,1.20450504231308,1.25378772215693,1.39316588635522
"New York",1.13290970765415,1.25212325537591,1.31432721654958,1.49060236866052
"North Carolina",1.08012255375917,1.14331998265037,1.17513012683579,1.26444783605886
"North Dakota",1.2350561746331,1.45174858568134,1.56559561356179,1.88880616044823
"Ohio",1.12721078911226,1.24389914133544,1.3051354781535,1.47890650873601
"Oklahoma",1.09932532722148,1.17156203935451,1.20698783130159,1.30577339975719
"Oregon",1.12067118241127,1.23191492874789,1.29036466283336,1.45628790847717
"Pennsylvania",1.12923972520196,1.24625251745547,1.30745437119824,1.48099554102925
"Rhode Island",1.13387890975854,1.25729852979457,1.32214311799157,1.506229627937
"South Carolina",1.07201630509684,1.12001811901275,1.14283460388967,1.20590789007453
"South Dakota",1.19456566426809,1.37390078726833,1.46813367904217,1.73559272603215
"Tennessee",1.0854256262147,1.1550821182213,1.19049042932561,1.29017074149242
"Texas",1.0865560717341,1.12857458049215,1.14570743729609,1.19087525180051
"Utah",1.15525900581132,1.2972781666543,1.37174681018474,1.58306382033786
"Vermont",1.1977793725748,1.38010723224156,1.47590916567802,1.74785325358261
"Virginia",1.09583930683368,1.17707335018436,1.21882294068883,1.33668842535428
"Washington",1.13902000591023,1.26717907343379,1.33450986045682,1.52566939682152
"West Virginia",1.11030182921843,1.21107731633201,1.26390723178335,1.41379615748726
"Wisconsin",1.18532983730393,1.35618078102522,1.44595562820207,1.70077844754381
"Wyoming",1.20626469994923,1.3964149702171,1.49631802282911,1.7799383965905
