"Scenario","Year","age","fleet"
"Ambitious",2022,0,987646
"Ambitious",2022,1,435212
"Ambitious",2022,2,234995
"Ambitious",2022,3,210516
"Ambitious",2022,4,194746
"Ambitious",2022,5,96190
"Ambitious",2022,6,277465
"Ambitious",2023,0,1113314
"Ambitious",2023,1,987246
"Ambitious",2023,2,434935
"Ambitious",2023,3,234760
"Ambitious",2023,4,210186
"Ambitious",2023,5,194268
"Ambitious",2023,6,95821
"Ambitious",2023,7,275809
"Ambitious",2024,0,2035102
"Ambitious",2024,1,1112863
"Ambitious",2024,2,986619
"Ambitious",2024,3,434501
"Ambitious",2024,4,234392
"Ambitious",2024,5,209670
"Ambitious",2024,6,193523
"Ambitious",2024,7,95249
"Ambitious",2024,8,273262
"Ambitious",2025,0,3447395
"Ambitious",2025,1,2034279
"Ambitious",2025,2,1112156
"Ambitious",2025,3,985633
"Ambitious",2025,4,433820
"Ambitious",2025,5,233817
"Ambitious",2025,6,208866
"Ambitious",2025,7,192368
"Ambitious",2025,8,94370
"Ambitious",2025,9,269393
"Ambitious",2026,0,4255227
"Ambitious",2026,1,3446001
"Ambitious",2026,2,2032986
"Ambitious",2026,3,1111045
"Ambitious",2026,4,984089
"Ambitious",2026,5,432755
"Ambitious",2026,6,232920
"Ambitious",2026,7,207619
"Ambitious",2026,8,190591
"Ambitious",2026,9,93033
"Ambitious",2026,10,263615
"Ambitious",2027,0,5100207
"Ambitious",2027,1,4253506
"Ambitious",2027,2,3443810
"Ambitious",2027,3,2030956
"Ambitious",2027,4,1109304
"Ambitious",2027,5,981674
"Ambitious",2027,6,431096
"Ambitious",2027,7,231530
"Ambitious",2027,8,205702
"Ambitious",2027,9,187892
"Ambitious",2027,10,91035
"Ambitious",2027,11,255196
"Ambitious",2028,0,6289143
"Ambitious",2028,1,5098144
"Ambitious",2028,2,4250802
"Ambitious",2028,3,3440371
"Ambitious",2028,4,2027773
"Ambitious",2028,5,1106581
"Ambitious",2028,6,977909
"Ambitious",2028,7,428523
"Ambitious",2028,8,229392
"Ambitious",2028,9,202788
"Ambitious",2028,10,183858
"Ambitious",2028,11,88121
"Ambitious",2028,12,243302
"Ambitious",2029,0,7698304
"Ambitious",2029,1,6286599
"Ambitious",2029,2,5094903
"Ambitious",2029,3,4246557
"Ambitious",2029,4,3434980
"Ambitious",2029,5,2022796
"Ambitious",2029,6,1102337
"Ambitious",2029,7,972072
"Ambitious",2029,8,424565
"Ambitious",2029,9,226143
"Ambitious",2029,10,198435
"Ambitious",2029,11,177971
"Ambitious",2029,12,83995
