"Scenario","Year","age","modelYear","vehSize","fleet"
"Ambitious",2022,0,2022,"Car",391382.113881203
"Ambitious",2022,0,2022,"Light Truck",596263.886118797
"Ambitious",2022,1,2021,"Car",171088.212594819
"Ambitious",2022,1,2021,"Light Truck",264123.787405181
"Ambitious",2022,2,2020,"Car",91838.5872686448
"Ambitious",2022,2,2020,"Light Truck",143156.412731355
"Ambitious",2022,3,2019,"Car",83661.7321006617
"Ambitious",2022,3,2019,"Light Truck",126854.267899338
"Ambitious",2022,4,2018,"Car",78148.9806847688
"Ambitious",2022,4,2018,"Light Truck",116597.019315231
"Ambitious",2022,5,2017,"Car",39154.080004874
"Ambitious",2022,5,2017,"Light Truck",57035.919995126
"Ambitious",2022,6,2016,"Car",115424.972231477
"Ambitious",2022,6,2016,"Light Truck",162040.027768523
"Ambitious",2023,0,2023,"Car",421464.449125397
"Ambitious",2023,0,2023,"Light Truck",691849.550874604
"Ambitious",2023,1,2022,"Car",391223.602789625
"Ambitious",2023,1,2022,"Light Truck",596022.397210375
"Ambitious",2023,2,2021,"Car",170979.319837063
"Ambitious",2023,2,2021,"Light Truck",263955.680162937
"Ambitious",2023,3,2020,"Car",91746.7467273221
"Ambitious",2023,3,2020,"Light Truck",143013.253272678
"Ambitious",2023,4,2019,"Car",83530.5859094305
"Ambitious",2023,4,2019,"Light Truck",126655.41409057
"Ambitious",2023,5,2018,"Car",77957.1656396982
"Ambitious",2023,5,2018,"Light Truck",116310.834360302
"Ambitious",2023,6,2017,"Car",39003.8787831067
"Ambitious",2023,6,2017,"Light Truck",56817.1212168933
"Ambitious",2023,7,2016,"Car",114736.079023269
"Ambitious",2023,7,2016,"Light Truck",161072.920976731
"Ambitious",2024,0,2024,"Car",755055.240216675
"Ambitious",2024,0,2024,"Light Truck",1280046.75978332
"Ambitious",2024,1,2023,"Car",421293.715202572
"Ambitious",2024,1,2023,"Light Truck",691569.284797428
"Ambitious",2024,2,2022,"Car",390975.136653577
"Ambitious",2024,2,2022,"Light Truck",595643.863346423
"Ambitious",2024,3,2021,"Car",170808.708079422
"Ambitious",2024,3,2021,"Light Truck",263692.291920578
"Ambitious",2024,4,2020,"Car",91602.9283477188
"Ambitious",2024,4,2020,"Light Truck",142789.071652281
"Ambitious",2024,5,2019,"Car",83325.5209558691
"Ambitious",2024,5,2019,"Light Truck",126344.479044131
"Ambitious",2024,6,2018,"Car",77658.2070443475
"Ambitious",2024,6,2018,"Light Truck",115864.792955652
"Ambitious",2024,7,2017,"Car",38771.0465368982
"Ambitious",2024,7,2017,"Light Truck",56477.9534631017
"Ambitious",2024,8,2016,"Car",113676.531317167
"Ambitious",2024,8,2016,"Light Truck",159585.468682832
"Ambitious",2025,0,2025,"Car",1224851.65979285
"Ambitious",2025,0,2025,"Light Truck",2222543.34020715
"Ambitious",2025,1,2024,"Car",754749.89411476
"Ambitious",2025,1,2024,"Light Truck",1279529.10588524
"Ambitious",2025,2,2023,"Car",421026.068010916
"Ambitious",2025,2,2023,"Light Truck",691129.931989085
"Ambitious",2025,3,2022,"Car",390584.406812837
"Ambitious",2025,3,2022,"Light Truck",595048.593187163
"Ambitious",2025,4,2021,"Car",170540.997003494
"Ambitious",2025,4,2021,"Light Truck",263279.002996506
"Ambitious",2025,5,2020,"Car",91378.2121295888
"Ambitious",2025,5,2020,"Light Truck",142438.787870411
"Ambitious",2025,6,2019,"Car",83006.0011445059
"Ambitious",2025,6,2019,"Light Truck",125859.998855494
"Ambitious",2025,7,2018,"Car",77194.7208998778
"Ambitious",2025,7,2018,"Light Truck",115173.279100122
"Ambitious",2025,8,2017,"Car",38413.2501305745
"Ambitious",2025,8,2017,"Light Truck",55956.7498694255
"Ambitious",2025,9,2016,"Car",112067.033839779
"Ambitious",2025,9,2016,"Light Truck",157325.966160221
"Ambitious",2026,0,2026,"Car",1481933.07615623
"Ambitious",2026,0,2026,"Light Truck",2773293.92384377
"Ambitious",2026,1,2025,"Car",1224356.3747403
"Ambitious",2026,1,2025,"Light Truck",2221644.6252597
"Ambitious",2026,2,2024,"Car",754270.170530586
"Ambitious",2026,2,2024,"Light Truck",1278715.82946941
"Ambitious",2026,3,2023,"Car",420605.479566885
"Ambitious",2026,3,2023,"Light Truck",690439.520433116
"Ambitious",2026,4,2022,"Car",389972.553999347
"Ambitious",2026,4,2022,"Light Truck",594116.446000653
"Ambitious",2026,5,2021,"Car",170122.329902372
"Ambitious",2026,5,2021,"Light Truck",262632.670097628
"Ambitious",2026,6,2020,"Car",91027.6548293059
"Ambitious",2026,6,2020,"Light Truck",141892.345170694
"Ambitious",2026,7,2019,"Car",82510.4275067324
"Ambitious",2026,7,2019,"Light Truck",125108.572493268
"Ambitious",2026,8,2018,"Car",76481.6344247931
"Ambitious",2026,8,2018,"Light Truck",114109.365575207
"Ambitious",2026,9,2017,"Car",37869.0251075313
"Ambitious",2026,9,2017,"Light Truck",55163.9748924686
"Ambitious",2026,10,2016,"Car",109663.395580707
"Ambitious",2026,10,2016,"Light Truck",153951.604419293
"Ambitious",2027,0,2027,"Car",1752488.06165879
"Ambitious",2027,0,2027,"Light Truck",3347718.93834121
"Ambitious",2027,1,2026,"Car",1481333.71757347
"Ambitious",2027,1,2026,"Light Truck",2772172.28242654
"Ambitious",2027,2,2025,"Car",1223577.91738725
"Ambitious",2027,2,2025,"Light Truck",2220232.08261275
"Ambitious",2027,3,2024,"Car",753517.008213592
"Ambitious",2027,3,2024,"Light Truck",1277438.99178641
"Ambitious",2027,4,2023,"Car",419946.393625338
"Ambitious",2027,4,2023,"Light Truck",689357.606374663
"Ambitious",2027,5,2022,"Car",389015.543283946
"Ambitious",2027,5,2022,"Light Truck",592658.456716054
"Ambitious",2027,6,2021,"Car",169470.152699779
"Ambitious",2027,6,2021,"Light Truck",261625.847300221
"Ambitious",2027,7,2020,"Car",90484.4277976524
"Ambitious",2027,7,2020,"Light Truck",141045.572202347
"Ambitious",2027,8,2019,"Car",81748.5873594896
"Ambitious",2027,8,2019,"Light Truck",123953.41264051
"Ambitious",2027,9,2018,"Car",75398.561607543
"Ambitious",2027,9,2018,"Light Truck",112493.438392457
"Ambitious",2027,10,2017,"Car",37055.7404433278
"Ambitious",2027,10,2017,"Light Truck",53979.2595566722
"Ambitious",2027,11,2016,"Car",106161.105774004
"Ambitious",2027,11,2016,"Light Truck",149034.894225996
"Ambitious",2028,0,2028,"Car",2126506.07359615
"Ambitious",2028,0,2028,"Light Truck",4162636.92640385
"Ambitious",2028,1,2027,"Car",1751779.19182837
"Ambitious",2028,1,2027,"Light Truck",3346364.80817164
"Ambitious",2028,2,2026,"Car",1480392.01762704
