"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Nebraska","Cuming County","31","039","Cuming",8918,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Washington","Wahkiakum County","53","069","Wahkiakum",4765,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"New Mexico","De Baca County","35","011","De Baca",1657,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Nebraska","Lancaster County","31","109","Lancaster",326716,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Nebraska","Nuckolls County","31","129","Nuckolls",4095,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"South Dakota","Minnehaha County","46","099","Minnehaha",206930,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Texas","Menard County","48","327","Menard",1958,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"California","Sierra County","06","091","Sierra",3200,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Kentucky","Clinton County","21","053","Clinton",9148,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Ohio","Hancock County","39","063","Hancock",74704,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Texas","Hale County","48","189","Hale",31761,"West South Central","SPPS","Southwest Power Pool / South","ERCOT All","US-TRE"
"Alabama","Clay County","01","027","Clay",14111,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Texas","Armstrong County","48","011","Armstrong",1832,"West South Central","SPPS","Southwest Power Pool / South","ERCOT All","US-TRE"
"Ohio","Allen County","39","003","Allen",100838,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Georgia","McDuffie County","13","189","McDuffie",21799,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Wisconsin","Sauk County","55","111","Sauk",65920,"East North Central","MISW","Midcontinent / West","MRO East","US-MRO"
"Arkansas","Stone County","05","137","Stone",12671,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Oregon","Wallowa County","41","063","Wallowa",7674,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Pennsylvania","Beaver County","42","007","Beaver",165631,"Middle Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Mississippi","Jasper County","28","061","Jasper",16013,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Missouri","Henry County","29","083","Henry",22485,"West North Central","SPPC","Southwest Power Pool / Central","SERC Midwest","US-SERC"
"Colorado","Saguache County","08","109","Saguache",6688,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"North Carolina","Chatham County","37","037","Chatham",81624,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Utah","Rich County","49","033","Rich",2670,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Oklahoma","Adair County","40","001","Adair",19627,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Ohio","Lake County","39","085","Lake",231640,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Salem city","51","775","Salem",25600,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Montgomery County","51","121","Montgomery",98666,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Tennessee","Hamilton County","47","065","Hamilton",379864,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"New Mexico","Otero County","35","035","Otero",68835,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"New Mexico","Catron County","35","003","Catron",3825,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Alabama","Marengo County","01","091","Marengo",18684,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Wyoming","Lincoln County","56","023","Lincoln",20880,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
