"sheet","Name","Region","value","unit","impact"
"Sheet1","electricity production, wind, 1-3MW turbine, offshore","RoW",4.02652418224716e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet10","electricity production, wind, 1-3MW turbine, onshore","US-ASCC",3.51630345420061e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet101","electricity production, oil","US-RFC",0.000773015388307899,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet102","electricity production, hard coal","US-RFC",0.000562238545895975,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet105","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","US-SERC",0.000136117099244439,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet106","electricity production, oil","US-SERC",0.000649982909087724,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet107","electricity production, deep geothermal","US-SERC",0.00016287796119091,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet108","electricity production, nuclear, boiling water reactor","US-SERC",4.57349560760308e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet109","electricity production, natural gas, conventional power plant","US-SERC",7.50116733321051e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet11","electricity production, hydro, reservoir, alpine region","US-ASCC",1.94528201997914e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet111","electricity production, wind, 1-3MW turbine, onshore","US-SERC",3.51630345420061e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet112","electricity production, solar thermal parabolic trough, 50 MW","US-SERC",5.38634114572044e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet113","electricity production, wind, <1MW turbine, onshore","US-SERC",3.62372813688228e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet114","electricity production, nuclear, pressure water reactor","US-SERC",4.33683963264142e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet115","electricity production, wind, >3MW turbine, onshore","US-SERC",6.80498236210559e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet116","electricity production, lignite","US-SERC",0.0103191609914999,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet119","electricity production, hydro, pumped storage","US-SERC",0.00078446133569863,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet12","electricity production, hard coal","US-ASCC",0.000816451118337769,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet120","electricity production, photovoltaic, 570kWp open ground installation, multi-Si","US-SERC",0.000131115754999043,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet121","electricity production, hydro, reservoir, alpine region","US-SERC",1.94528201997914e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet123","electricity production, hydro, reservoir, non-alpine region","US-SERC",1.94276367281098e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet124","electricity production, natural gas, combined cycle power plant","US-SERC",4.33156873326766e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet125","electricity production, hydro, run-of-river","US-SERC",2.62836966902711e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet126","electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","US-SERC",0.000156897187230327,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet127","electricity production, hard coal","US-SERC",0.00058566901809399,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet128","electricity production, wind, <1MW turbine, onshore","US-TRE",3.62372813688228e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet129","electricity production, hydro, pumped storage","US-TRE",0.00180009307641935,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet13","electricity production, hydro, pumped storage","US-ASCC",0.00190530774210496,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet130","electricity production, natural gas, combined cycle power plant","US-TRE",4.07857047277166e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet131","electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","US-TRE",0.000155983476489385,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet136","electricity production, oil","US-TRE",0.000695962407479782,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet137","electricity production, wind, >3MW turbine, onshore","US-TRE",6.80498236210559e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet138","electricity production, hydro, run-of-river","US-TRE",2.62836966902711e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet139","electricity production, nuclear, pressure water reactor","US-TRE",4.33683963264142e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet14","electricity production, wind, <1MW turbine, onshore","US-ASCC",3.62372813688228e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet140","electricity production, hard coal","US-TRE",0.000674706869003457,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet141","electricity production, nuclear, boiling water reactor","US-TRE",4.57349560760308e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet142","electricity production, wind, 1-3MW turbine, onshore","US-TRE",3.51630345420061e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet143","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","US-TRE",0.000135324403990936,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet144","electricity, high voltage, import from MX","US-TRE",0.000651308855172346,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet145","electricity production, lignite","US-TRE",0.0103425897676806,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet146","electricity production, natural gas, conventional power plant","US-TRE",6.4359911292612e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
"Sheet149","electricity production, hydro, reservoir, non-alpine region","US-TRE",1.94276367281098e-05,"kg PM2.5eq/kWh","Human Health Particulate Air"
