"Scenario","Year","Sales"
"Ambitious",2022,762556
"Ambitious",2023,1153854
"Ambitious",2024,2035626
"Ambitious",2025,3448282
"Ambitious",2026,4256322
"Ambitious",2027,5101519
"Ambitious",2028,6290761
"Ambitious",2029,7700285
"Ambitious",2030,8972018
"Ambitious",2031,9804878
"Ambitious",2032,10704253
"Ambitious",2033,11835259
"Ambitious",2034,12960797
"Ambitious",2035,14857329
"Ambitious",2036,14984472
"Ambitious",2037,15092254
"Ambitious",2038,15222397
"Ambitious",2039,15334426
"Ambitious",2040,15471111
"Ambitious",2041,15524962
"Ambitious",2042,15584891
"Ambitious",2043,15628845
"Ambitious",2044,15680038
"Ambitious",2045,15811025
"Ambitious",2046,15928285
"Ambitious",2047,15996275
"Ambitious",2048,16037727
"Ambitious",2049,16131882
"Ambitious",2050,16275731
"Baseline",2022,762556
"Baseline",2023,1153854
"Baseline",2024,1411110
"Baseline",2025,1736219
"Baseline",2026,2118277
"Baseline",2027,2554545
"Baseline",2028,3068078
"Baseline",2029,3728179
"Baseline",2030,4492748
"Baseline",2031,4697394
"Baseline",2032,4904753
"Baseline",2033,5107786
"Baseline",2034,5339765
"Baseline",2035,5599496
"Baseline",2036,5873311
"Baseline",2037,6143078
"Baseline",2038,6425534
"Baseline",2039,6703995
"Baseline",2040,6996985
"Baseline",2041,7255384
"Baseline",2042,7518339
"Baseline",2043,7775154
"Baseline",2044,8037004
"Baseline",2045,8342500
"Baseline",2046,8644497
"Baseline",2047,8922545
"Baseline",2048,9187442
"Baseline",2049,9484574
"Baseline",2050,9814511
"Momentum",2022,762556
"Momentum",2023,1153854
"Momentum",2024,1591030
"Momentum",2025,2207263
"Momentum",2026,3038275
"Momentum",2027,4132397
"Momentum",2028,4729704
"Momentum",2029,6062054
"Momentum",2030,6769074
"Momentum",2031,7955745
"Momentum",2032,8928137
"Momentum",2033,9855807
"Momentum",2034,10236033
"Momentum",2035,10688318
"Momentum",2036,10885202
"Momentum",2037,11071192
"Momentum",2038,11273753
"Momentum",2039,11464602
"Momentum",2040,11675635
"Momentum",2041,11825496
"Momentum",2042,11980787
"Momentum",2043,12124528
"Momentum",2044,12274554
"Momentum",2045,12488326
"Momentum",2046,12694603
"Momentum",2047,12861326
"Momentum",2048,13007483
"Momentum",2049,13197339
"Momentum",2050,13429523
