"Scenario","Year","vehSize","Sales"
"Ambitious",2022,"Car",302183.959873066
"Ambitious",2022,"Light Truck",460372.040126934
"Ambitious",2023,"Car",436811.573806793
"Ambitious",2023,"Light Truck",717042.426193208
"Ambitious",2024,"Car",755249.652558599
"Ambitious",2024,"Light Truck",1280376.3474414
"Ambitious",2025,"Car",1225166.80889014
"Ambitious",2025,"Light Truck",2223115.19110986
"Ambitious",2026,"Car",1482314.42284312
"Ambitious",2026,"Light Truck",2774007.57715689
"Ambitious",2027,"Car",1752938.87950538
"Ambitious",2027,"Light Truck",3348580.12049463
"Ambitious",2028,"Car",2127053.15716971
"Ambitious",2028,"Light Truck",4163707.84283028
"Ambitious",2029,"Car",2584865.13715792
"Ambitious",2029,"Light Truck",5115419.86284208
"Ambitious",2030,"Car",2994804.92408756
"Ambitious",2030,"Light Truck",5977213.07591244
"Ambitious",2031,"Car",3251553.54783239
"Ambitious",2031,"Light Truck",6553324.45216762
"Ambitious",2032,"Car",3540711.32125148
"Ambitious",2032,"Light Truck",7163541.67874852
"Ambitious",2033,"Car",3894291.75942857
"Ambitious",2033,"Light Truck",7940967.24057143
"Ambitious",2034,"Car",4242735.77920505
"Ambitious",2034,"Light Truck",8718061.22079495
"Ambitious",2035,"Car",4831347.3117888
"Ambitious",2035,"Light Truck",10025981.6882112
"Ambitious",2036,"Car",4876555.92848238
"Ambitious",2036,"Light Truck",10107916.0715176
"Ambitious",2037,"Car",4892365.09024673
"Ambitious",2037,"Light Truck",10199888.9097533
"Ambitious",2038,"Car",4914734.47879449
"Ambitious",2038,"Light Truck",10307662.5212055
"Ambitious",2039,"Car",4932794.28850427
"Ambitious",2039,"Light Truck",10401631.7114957
"Ambitious",2040,"Car",4950771.07878026
"Ambitious",2040,"Light Truck",10520339.9212197
"Ambitious",2041,"Car",4938577.27553027
"Ambitious",2041,"Light Truck",10586384.7244697
"Ambitious",2042,"Car",4926839.95234748
"Ambitious",2042,"Light Truck",10658051.0476525
"Ambitious",2043,"Car",4893554.16119283
"Ambitious",2043,"Light Truck",10735290.8388072
"Ambitious",2044,"Car",4886490.19111929
"Ambitious",2044,"Light Truck",10793547.8088807
"Ambitious",2045,"Car",4895774.39558699
"Ambitious",2045,"Light Truck",10915250.604413
"Ambitious",2046,"Car",4969570.58647254
"Ambitious",2046,"Light Truck",10958714.4135275
"Ambitious",2047,"Car",4952350.5019929
"Ambitious",2047,"Light Truck",11043924.4980071
"Ambitious",2048,"Car",4957728.96059911
"Ambitious",2048,"Light Truck",11079998.0394009
"Ambitious",2049,"Car",4956844.18211729
"Ambitious",2049,"Light Truck",11175037.8178827
"Ambitious",2050,"Car",4990091.55947315
"Ambitious",2050,"Light Truck",11285639.4405269
"Baseline",2022,"Car",302183.959873066
"Baseline",2022,"Light Truck",460372.040126934
"Baseline",2023,"Car",436811.573806793
"Baseline",2023,"Light Truck",717042.426193208
"Baseline",2024,"Car",523544.274450201
"Baseline",2024,"Light Truck",887565.725549799
"Baseline",2025,"Car",616874.690574733
"Baseline",2025,"Light Truck",1119344.30942527
"Baseline",2026,"Car",737714.991646977
"Baseline",2026,"Light Truck",1380562.00835302
"Baseline",2027,"Car",877770.179812338
"Baseline",2027,"Light Truck",1676774.82018766
"Baseline",2028,"Car",1037388.79864343
"Baseline",2028,"Light Truck",2030689.20135657
"Baseline",2029,"Car",1251491.33079935
"Baseline",2029,"Light Truck",2476687.66920065
"Baseline",2030,"Car",1499651.89916968
"Baseline",2030,"Light Truck",2993096.10083032
"Baseline",2031,"Car",1557778.49824002
"Baseline",2031,"Light Truck",3139615.50175999
"Baseline",2032,"Car",1622375.18816513
"Baseline",2032,"Light Truck",3282377.81183487
"Baseline",2033,"Car",1680673.73335257
"Baseline",2033,"Light Truck",3427112.26664743
"Baseline",2034,"Car",1747979.85170564
"Baseline",2034,"Light Truck",3591785.14829436
"Baseline",2035,"Car",1820859.58700734
"Baseline",2035,"Light Truck",3778636.41299267
"Baseline",2036,"Car",1911414.00089845
"Baseline",2036,"Light Truck",3961896.99910156
"Baseline",2037,"Car",1991364.60026863
"Baseline",2037,"Light Truck",4151713.39973137
"Baseline",2038,"Car",2074561.1544927
"Baseline",2038,"Light Truck",4350972.8455073
"Baseline",2039,"Car",2156548.16464348
"Baseline",2039,"Light Truck",4547446.83535653
"Baseline",2040,"Car",2239042.23663442
"Baseline",2040,"Light Truck",4757942.76336559
"Baseline",2041,"Car",2307978.24481928
"Baseline",2041,"Light Truck",4947405.75518073
"Baseline",2042,"Car",2376766.89304354
"Baseline",2042,"Light Truck",5141572.10695647
"Baseline",2043,"Car",2434481.70422159
"Baseline",2043,"Light Truck",5340672.29577841
"Baseline",2044,"Car",2504633.03800581
"Baseline",2044,"Light Truck",5532370.9619942
"Baseline",2045,"Car",2583197.3509108
"Baseline",2045,"Light Truck",5759302.64908921
"Baseline",2046,"Car",2697053.57645535
"Baseline",2046,"Light Truck",5947443.42354466
"Baseline",2047,"Car",2762366.25150569
"Baseline",2047,"Light Truck",6160178.74849431
"Baseline",2048,"Car",2840106.16200317
"Baseline",2048,"Light Truck",6347335.83799684
"Baseline",2049,"Car",2914325.52331842
"Baseline",2049,"Light Truck",6570248.47668159
"Baseline",2050,"Car",3009100.3901119
"Baseline",2050,"Light Truck",6805410.6098881
"Momentum",2022,"Car",302183.959873066
"Momentum",2022,"Light Truck",460372.040126934
"Momentum",2023,"Car",436811.573806793
"Momentum",2023,"Light Truck",717042.426193208
"Momentum",2024,"Car",590297.458722922
"Momentum",2024,"Light Truck",1000732.54127708
"Momentum",2025,"Car",784235.56022717
"Momentum",2025,"Light Truck",1423027.43977283
"Momentum",2026,"Car",1058115.16446915
"Momentum",2026,"Light Truck",1980159.83553085
"Momentum",2027,"Car",1419937.74145532
"Momentum",2027,"Light Truck",2712459.25854469
"Momentum",2028,"Car",1599223.34129022
"Momentum",2028,"Light Truck",3130480.65870978
"Momentum",2029,"Car",2034936.63470491
"Momentum",2029,"Light Truck",4027117.36529509
"Momentum",2030,"Car",2259475.64379753
"Momentum",2030,"Light Truck",4509598.35620247
"Momentum",2031,"Car",2638332.76460959
"Momentum",2031,"Light Truck",5317412.23539041
"Momentum",2032,"Car",2953214.55440041
"Momentum",2032,"Light Truck",5974922.44559959
"Momentum",2033,"Car",3242969.83974904
"Momentum",2033,"Light Truck",6612837.16025096
"Momentum",2034,"Car",3350780.31437601
"Momentum",2034,"Light Truck",6885252.68562399
"Momentum",2035,"Car",3475656.79112604
"Momentum",2035,"Light Truck",7212661.20887397
"Momentum",2036,"Car",3542486.93886767
"Momentum",2036,"Light Truck",7342715.06113234
"Momentum",2037,"Car",3588881.63744255
"Momentum",2037,"Light Truck",7482310.36255746
"Momentum",2038,"Car",3639867.13620153
"Momentum",2038,"Light Truck",7633885.86379847
"Momentum",2039,"Car",3687945.23287501
"Momentum",2039,"Light Truck",7776656.76712499
"Momentum",2040,"Car",3736214.94179665
"Momentum",2040,"Light Truck",7939420.05820335
"Momentum",2041,"Car",3761756.44213971
"Momentum",2041,"Light Truck",8063739.5578603
