"Category","Impact_Name","Abbr","vehicle_type","Stage","value","labX","lvl","abb_lab","x"
"Primary energy detail","Other","Other","EV","Driving",2.22194706857185,"Other-EV","OtherDriving","","Primary Energy"
"Primary energy detail","Other","Other","ICE","Driving",1.95531846724032,"Other-ICE","OtherDriving","","Primary Energy"
"Primary energy detail","Wind","Wind","EV","Driving",6864.59896798831,"Wind-EV","WindDriving","Wind","Primary Energy"
"Primary energy detail","Wind","Wind","ICE","Driving",49.4174149650745,"Wind-ICE","WindDriving","","Primary Energy"
"Primary energy detail","Solar","Solar","EV","Driving",5309.25210857879,"Solar-EV","SolarDriving","Solar","Primary Energy"
"Primary energy detail","Solar","Solar","ICE","Driving",0.174223527557868,"Solar-ICE","SolarDriving","","Primary Energy"
"Primary energy detail","Geothermal","GeoT","EV","Driving",1769.839959149,"Geothermal-EV","GeothermalDriving","","Primary Energy"
"Primary energy detail","Geothermal","GeoT","ICE","Driving",8.73647853581032,"Geothermal-ICE","GeothermalDriving","","Primary Energy"
"Primary energy detail","Hydro","Hyd","EV","Driving",1405.98650788563,"Hydro-EV","HydroDriving","","Primary Energy"
"Primary energy detail","Hydro","Hyd","ICE","Driving",118.581699319814,"Hydro-ICE","HydroDriving","","Primary Energy"
"Primary energy detail","Biomass","Bio","EV","Driving",42.608396765826,"Biomass-EV","BiomassDriving","","Primary Energy"
"Primary energy detail","Biomass","Bio","ICE","Driving",57.9195804513525,"Biomass-ICE","BiomassDriving","","Primary Energy"
"Primary energy detail","Uranium","Uran.","EV","Driving",9750.58571077656,"Uranium-EV","UraniumDriving","Uran.","Primary Energy"
"Primary energy detail","Uranium","Uran.","ICE","Driving",272.692401484269,"Uranium-ICE","UraniumDriving","","Primary Energy"
"Primary energy detail","Natural gas","NG","EV","Driving",11658.5351367221,"Natural gas-EV","Natural gasDriving","NG","Primary Energy"
"Primary energy detail","Natural gas","NG","ICE","Driving",4895.88006755052,"Natural gas-ICE","Natural gasDriving","NG","Primary Energy"
"Primary energy detail","Crude oil","Oil","EV","Driving",666.089402983709,"Crude oil-EV","Crude oilDriving","","Primary Energy"
"Primary energy detail","Crude oil","Oil","ICE","Driving",65923.0621026705,"Crude oil-ICE","Crude oilDriving","Oil","Primary Energy"
"Primary energy detail","Coal","Coal","EV","Driving",1667.43631773779,"Coal-EV","CoalDriving","","Primary Energy"
"Primary energy detail","Coal","Coal","ICE","Driving",960.082316711268,"Coal-ICE","CoalDriving","","Primary Energy"
"Primary energy detail","Other","Other","EV","LIB production",355.885440257287,"Other-EV","OtherLIB production","","Primary Energy"
"Primary energy detail","Wind","Wind","EV","LIB production",237.219761546714,"Wind-EV","WindLIB production","","Primary Energy"
"Primary energy detail","Solar","Solar","EV","LIB production",2.58402742385831,"Solar-EV","SolarLIB production","","Primary Energy"
"Primary energy detail","Geothermal","GeoT","EV","LIB production",21.9431529761469,"Geothermal-EV","GeothermalLIB production","","Primary Energy"
"Primary energy detail","Hydro","Hyd","EV","LIB production",2665.98734075159,"Hydro-EV","HydroLIB production","Hyd","Primary Energy"
"Primary energy detail","Biomass","Bio","EV","LIB production",187.096534636086,"Biomass-EV","BiomassLIB production","","Primary Energy"
"Primary energy detail","Uranium","Uran.","EV","LIB production",1052.58941080267,"Uranium-EV","UraniumLIB production","","Primary Energy"
"Primary energy detail","Natural gas","NG","EV","LIB production",2583.12571698253,"Natural gas-EV","Natural gasLIB production","NG","Primary Energy"
"Primary energy detail","Crude oil","Oil","EV","LIB production",2156.68901413546,"Crude oil-EV","Crude oilLIB production","Oil","Primary Energy"
"Primary energy detail","Coal","Coal","EV","LIB production",7162.80962624164,"Coal-EV","CoalLIB production","Coal","Primary Energy"
"Primary energy detail","Other","Other","EV","Vehicle production",11.9524259278592,"Other-EV","OtherVehicle production","","Primary Energy"
"Primary energy detail","Other","Other","ICE","Vehicle production",9.50800374997222,"Other-ICE","OtherVehicle production","","Primary Energy"
"Primary energy detail","Wind","Wind","EV","Vehicle production",215.510678992983,"Wind-EV","WindVehicle production","","Primary Energy"
"Primary energy detail","Wind","Wind","ICE","Vehicle production",208.151599583445,"Wind-ICE","WindVehicle production","","Primary Energy"
"Primary energy detail","Solar","Solar","EV","Vehicle production",1.0472600232193,"Solar-EV","SolarVehicle production","","Primary Energy"
"Primary energy detail","Solar","Solar","ICE","Vehicle production",22.4227531527259,"Solar-ICE","SolarVehicle production","","Primary Energy"
"Primary energy detail","Geothermal","GeoT","EV","Vehicle production",51.4526564732456,"Geothermal-EV","GeothermalVehicle production","","Primary Energy"
"Primary energy detail","Geothermal","GeoT","ICE","Vehicle production",50.1964695011127,"Geothermal-ICE","GeothermalVehicle production","","Primary Energy"
"Primary energy detail","Hydro","Hyd","EV","Vehicle production",612.493387447973,"Hydro-EV","HydroVehicle production","","Primary Energy"
"Primary energy detail","Hydro","Hyd","ICE","Vehicle production",637.414159546067,"Hydro-ICE","HydroVehicle production","","Primary Energy"
"Primary energy detail","Biomass","Bio","EV","Vehicle production",266.579484552053,"Biomass-EV","BiomassVehicle production","","Primary Energy"
"Primary energy detail","Biomass","Bio","ICE","Vehicle production",263.171465673261,"Biomass-ICE","BiomassVehicle production","","Primary Energy"
"Primary energy detail","Uranium","Uran.","EV","Vehicle production",1057.9820380752,"Uranium-EV","UraniumVehicle production","","Primary Energy"
"Primary energy detail","Uranium","Uran.","ICE","Vehicle production",1005.21545264877,"Uranium-ICE","UraniumVehicle production","","Primary Energy"
"Primary energy detail","Natural gas","NG","EV","Vehicle production",3161.46965335782,"Natural gas-EV","Natural gasVehicle production","NG","Primary Energy"
