"vehicle_type","Year","Stage","metric"
"EV",2025,"Driving",20.0722538413036
"EV",2025,"LIB production",45.7754643539894
"EV",2025,"Vehicle production",45.8679622202161
"EV",2026,"Driving",27.7984820584112
"EV",2026,"LIB production",56.6701616198095
"EV",2026,"Vehicle production",57.3940746525021
"EV",2027,"Driving",37.614387708458
"EV",2027,"LIB production",67.9533852018209
"EV",2027,"Vehicle production",68.9205574915329
"EV",2028,"Driving",50.2960346313822
"EV",2028,"LIB production",84.0302117267605
"EV",2028,"Vehicle production",86.1418363171828
"EV",2029,"Driving",63.7683896878559
"EV",2029,"LIB production",102.751402315172
"EV",2029,"Vehicle production",106.232842957479
"EV",2030,"Driving",77.7282522350601
"EV",2030,"LIB production",119.980647070863
"EV",2030,"Vehicle production",124.298122905958
"EV",2031,"Driving",92.1292297817981
"EV",2031,"LIB production",131.561091442346
"EV",2031,"Vehicle production",136.254734911501
"EV",2032,"Driving",96.2019593597165
"EV",2032,"LIB production",144.052828754733
"EV",2032,"Vehicle production",150.204052796543
"EV",2033,"Driving",107.216894944717
"EV",2033,"LIB production",159.916892865349
"EV",2033,"Vehicle production",168.278027946968
"EV",2034,"Driving",117.626172594684
"EV",2034,"LIB production",176.545081110796
"EV",2034,"Vehicle production",185.724846285992
"EV",2035,"Driving",130.065543409989
"EV",2035,"LIB production",202.845452655363
"EV",2035,"Vehicle production",212.153323557864
"EV",2036,"Driving",139.07922040062
"EV",2036,"LIB production",205.966606002602
"EV",2036,"Vehicle production",216.625909903521
"EV",2037,"Driving",140.631093899128
"EV",2037,"LIB production",209.009366349669
"EV",2037,"Vehicle production",221.818198773699
"EV",2038,"Driving",144.170116263853
"EV",2038,"LIB production",212.509246813579
"EV",2038,"Vehicle production",226.954384569128
"EV",2039,"Driving",145.956760635925
"EV",2039,"LIB production",215.645747054416
"EV",2039,"Vehicle production",231.958947648559
"EV",2040,"Driving",153.645174671385
"EV",2040,"LIB production",218.88118566108
"EV",2040,"Vehicle production",235.994659914591
"EV",2041,"Driving",162.023808837849
"EV",2041,"LIB production",220.882730950036
"EV",2041,"Vehicle production",239.648861661633
"EV",2042,"Driving",165.277880230203
"EV",2042,"LIB production",222.912245211381
"EV",2042,"Vehicle production",243.002378448032
"EV",2043,"Driving",171.152237535424
"EV",2043,"LIB production",224.7530030895
"EV",2043,"Vehicle production",246.527513288921
"EV",2044,"Driving",174.203713552484
"EV",2044,"LIB production",226.716697033141
"EV",2044,"Vehicle production",249.136611582842
"EV",2045,"Driving",176.901805663074
"EV",2045,"LIB production",229.195296988245
"EV",2045,"Vehicle production",252.11569985515
"EV",2046,"Driving",177.240605033904
"EV",2046,"LIB production",230.664838481469
"EV",2046,"Vehicle production",255.233906902384
"EV",2047,"Driving",178.752908211702
"EV",2047,"LIB production",231.435957837342
"EV",2047,"Vehicle production",257.81676837871
"EV",2048,"Driving",180.088791771758
"EV",2048,"LIB production",231.959120982985
"EV",2048,"Vehicle production",258.96372571034
"EV",2049,"Driving",179.153142893648
"EV",2049,"LIB production",233.107625480902
"EV",2049,"Vehicle production",260.793104280693
"EV",2050,"Driving",177.782610886195
"EV",2050,"LIB production",234.929880439857
"EV",2050,"Vehicle production",263.223691102348
"ICEV",2025,"Driving",64.3981775985133
"ICEV",2025,"Vehicle production",49.0500842071837
"ICEV",2026,"Driving",94.6119864504024
"ICEV",2026,"Vehicle production",61.4315848102961
"ICEV",2027,"Driving",130.169071724045
"ICEV",2027,"Vehicle production",73.7404411526208
"ICEV",2028,"Driving",173.221464504581
"ICEV",2028,"Vehicle production",92.2929514447512
"ICEV",2029,"Driving",226.563612502208
"ICEV",2029,"Vehicle production",113.947592873673
"ICEV",2030,"Driving",287.845427647612
"ICEV",2030,"Vehicle production",133.44628289205
"ICEV",2031,"Driving",353.770784870202
"ICEV",2031,"Vehicle production",146.342896988316
"ICEV",2032,"Driving",423.684702206293
"ICEV",2032,"Vehicle production",161.555199764663
"ICEV",2033,"Driving",502.308896944899
"ICEV",2033,"Vehicle production",181.249734201767
"ICEV",2034,"Driving",585.720345963365
"ICEV",2034,"Vehicle production",200.250140298848
"ICEV",2035,"Driving",679.16137669181
"ICEV",2035,"Vehicle production",228.718168588094
"ICEV",2036,"Driving",768.849547296724
"ICEV",2036,"Vehicle production",233.913347569868
"ICEV",2037,"Driving",853.982390773058
"ICEV",2037,"Vehicle production",239.983744227429
"ICEV",2038,"Driving",934.367661627881
"ICEV",2038,"Vehicle production",245.919185567959
"ICEV",2039,"Driving",1009.05622275379
"ICEV",2039,"Vehicle production",251.754249303721
"ICEV",2040,"Driving",1077.93576963146
"ICEV",2040,"Vehicle production",256.366060530989
"ICEV",2041,"Driving",1137.81403101127
"ICEV",2041,"Vehicle production",260.625947122158
"ICEV",2042,"Driving",1190.96478144543
"ICEV",2042,"Vehicle production",264.555016695207
