"Scenario_Grid","Scenario_Lifetime","Scenario_Capacity","impact","EV","ICE","vehicle_type","kwh","delta_co2","metric"
"Cambium NREL","Long LIB Duration","Reference","kgCO2eq",8895451279884.77,25607418680643.4,"EV",31760059698.2518,16711967400.7586,0.526194458056339
"Cambium NREL","Long LIB Duration","High LIB Capacity","kgCO2eq",9176210415586.95,25607418680643.4,"EV",34996367300,16431208265.0564,0.469511824590332
"Cambium NREL","Long LIB Duration","Low LIB Capacity","kgCO2eq",8503022280393.16,25607418680643.4,"EV",27196005393.1086,17104396400.2502,0.628930468023235
"Cambium NREL","Reference","Reference","kgCO2eq",9106719663186.6,24892927868953.3,"EV",33883114821.3473,15786208205.7667,0.46590191866956
"Cambium NREL","Reference","High LIB Capacity","kgCO2eq",9419001078973.92,24892927868953.3,"EV",37337462400,15473926789.9794,0.414434345435842
"Cambium NREL","Reference","Low LIB Capacity","kgCO2eq",8670314120104.55,24892927868953.3,"EV",29013397765.689,16222613748.8487,0.559142154940344
"Cambium NREL","Short LIB Duration","Reference","kgCO2eq",10457050373006,24712973934394.2,"EV",43831873544.4634,14255923561.3882,0.325241026873443
"Cambium NREL","Short LIB Duration","High LIB Capacity","kgCO2eq",10910936541166.9,24712973934394.2,"EV",48307064200,13802037393.2273,0.285714680074208
"Cambium NREL","Short LIB Duration","Low LIB Capacity","kgCO2eq",9822966892840.69,24712973934394.2,"EV",37530106394.9068,14890007041.5535,0.396748330123951
"High Oil and Gas Supply","Long LIB Duration","Reference","kgCO2eq",10442897714479.5,25607418680643.4,"EV",31760059698.2518,15164520966.1639,0.477471425124512
"High Oil and Gas Supply","Long LIB Duration","High LIB Capacity","kgCO2eq",10723656850181.7,25607418680643.4,"EV",34996367300,14883761830.4617,0.425294479934827
"High Oil and Gas Supply","Long LIB Duration","Low LIB Capacity","kgCO2eq",10050468714987.9,25607418680643.4,"EV",27196005393.1086,15556949965.6555,0.572030698655384
"High Oil and Gas Supply","Reference","Reference","kgCO2eq",10609372319071.5,24892927868953.3,"EV",33883114821.3473,14283555549.8818,0.421553792359218
"High Oil and Gas Supply","Reference","High LIB Capacity","kgCO2eq",10921653734858.9,24892927868953.3,"EV",37337462400,13971274134.0944,0.374189171840838
"High Oil and Gas Supply","Reference","Low LIB Capacity","kgCO2eq",10172966775989.5,24892927868953.3,"EV",29013397765.689,14719961092.9638,0.507350473455112
"High Oil and Gas Supply","Short LIB Duration","Reference","kgCO2eq",11947821831916.6,24712973934394.2,"EV",43831873544.4634,12765152102.4776,0.291229898934813
"High Oil and Gas Supply","Short LIB Duration","High LIB Capacity","kgCO2eq",12401708000077.5,24712973934394.2,"EV",48307064200,12311265934.3167,0.254854360085841
"High Oil and Gas Supply","Short LIB Duration","Low LIB Capacity","kgCO2eq",11313738351751.3,24712973934394.2,"EV",37530106394.9068,13399235582.6429,0.357026314864413
"Low Oil and Gas Supply","Long LIB Duration","Reference","kgCO2eq",8520337195829.82,25607418680643.4,"EV",31760059698.2518,17087081484.8136,0.538005332708933
"Low Oil and Gas Supply","Long LIB Duration","High LIB Capacity","kgCO2eq",8801096331531.99,25607418680643.4,"EV",34996367300,16806322349.1114,0.480230482353846
"Low Oil and Gas Supply","Long LIB Duration","Low LIB Capacity","kgCO2eq",8127908196338.2,25607418680643.4,"EV",27196005393.1086,17479510484.3052,0.642723452641116
