"Scenario_Sales","Scenario_Lifetime","Scenario_Capacity","Scenario_Grid","Scenario_mpg","Scenario_Recycling","EV_kgCO2eq","EV_kgLithium","ICE_kgCO2eq","ICE_kgLithium","delta_co2","delta_li","metric"
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Improved MPG","0%",8895451279884.77,1286154519.38999,23702724937309.5,23100.3477906484,-14807273657.4247,1286131419.0422,11.5130331459066
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Improved MPG","20%",8901194740652.75,1189773952.62859,23702724937309.5,23100.3477906484,-14801530196.6567,1189750852.2808,12.4408653864644
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Improved MPG","40%",8906938201420.73,1093393385.8672,23702724937309.5,23100.3477906484,-14795786735.8888,1093370285.51941,13.5322744104574
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Improved MPG","60%",8912681662188.7,997012819.105802,23702724937309.5,23100.3477906484,-14790043275.1208,996989718.758011,14.834699893942
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Improved MPG","80%",8918425122956.68,900632252.344407,23702724937309.5,23100.3477906484,-14784299814.3528,900609151.996616,16.4158889364788
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Reference","0%",8895451279884.77,1286154519.38999,25607418680643.4,23112.3758907101,-16711967400.7586,1286131407.0141,12.9939812600933
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Reference","20%",8901194740652.75,1189773952.62859,25607418680643.4,23112.3758907101,-16706223939.9906,1189750840.2527,14.0417836867779
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Reference","40%",8906938201420.73,1093393385.8672,25607418680643.4,23112.3758907101,-16700480479.2227,1093370273.49131,15.2743136374975
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Reference","60%",8912681662188.7,997012819.105802,25607418680643.4,23112.3758907101,-16694737018.4547,996989706.729911,16.7451448151985
"Ambitious","Long LIB Duration","Reference","Cambium NREL","Reference","80%",8918425122956.68,900632252.344407,25607418680643.4,23112.3758907101,-16688993557.6867,900609139.968516,18.5307841293617
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Improved MPG","0%",10442897714479.5,1286154505.70362,23702724937309.5,23100.3477906484,-13259827222.83,1286131405.35583,10.3098541623447
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Improved MPG","20%",10448641175247.5,1189773938.94222,23702724937309.5,23100.3477906484,-13254083762.062,1189750838.59443,11.1402180457551
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Improved MPG","40%",10454384636015.4,1093393372.18083,23702724937309.5,23100.3477906484,-13248340301.294,1093370271.83304,12.1169750473306
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Improved MPG","60%",10460128096783.4,997012805.419432,23702724937309.5,23100.3477906484,-13242596840.5261,996989705.071641,13.2825813277324
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Improved MPG","80%",10465871557551.4,900632238.658037,23702724937309.5,23100.3477906484,-13236853379.7581,900609138.310246,14.6976671862263
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Reference","0%",10442897714479.5,1286154505.70362,25607418680643.4,23112.3758907101,-15164520966.1639,1286131393.32773,11.7908022810386
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Reference","20%",10448641175247.5,1189773938.94222,25607418680643.4,23112.3758907101,-15158777505.3959,1189750826.56633,12.7411363513356
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Reference","40%",10454384636015.4,1093393372.18083,25607418680643.4,23112.3758907101,-15153034044.6279,1093370259.80494,13.8590142806073
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Reference","60%",10460128096783.4,997012805.419432,25607418680643.4,23112.3758907101,-15147290583.86,996989693.043541,15.1930262564895
"Ambitious","Long LIB Duration","Reference","High Oil and Gas Supply","Reference","80%",10465871557551.4,900632238.658037,25607418680643.4,23112.3758907101,-15141547123.092,900609126.282146,16.8125623883012
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Improved MPG","0%",8520337195829.82,1286154543.72492,23702724937309.5,23100.3477906484,-15182387741.4797,1286131443.37713,11.8046936957032
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Improved MPG","20%",8526080656597.79,1189773976.96352,23702724937309.5,23100.3477906484,-15176644280.7117,1189750876.61573,12.7561530560767
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Improved MPG","40%",8531824117365.77,1093393410.20213,23702724937309.5,23100.3477906484,-15170900819.9437,1093370309.85434,13.8753546563422
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Improved MPG","60%",8537567578133.75,997012843.440733,23702724937309.5,23100.3477906484,-15165157359.1757,996989743.092942,15.2109462150826
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Improved MPG","80%",8543311038901.72,900632276.679337,23702724937309.5,23100.3477906484,-15159413898.4078,900609176.331547,16.8323999985839
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Reference","0%",8520337195829.82,1286154543.72492,25607418680643.4,23112.3758907101,-17087081484.8136,1286131431.34903,13.2856417845965
"Ambitious","Long LIB Duration","Reference","Low Oil and Gas Supply","Reference","20%",8526080656597.79,1189773976.96352,25607418680643.4,23112.3758907101,-17081338024.0456,1189750864.58763,14.3570713268328
